x(mV),y(mV)
-10752,-75
-9286.25,-52.5
-6900,-37.5
-4571.25,-22.5
-2300,-7.5
0,0
2271.25,7.5
4628.75,22.5
6928.75,37.5
9200,45
10752.5,75
