Chart Recorder Data File Tue, Mar 15, 2022 11:46 AM
CH1 (V)  	CH2 (V)  
-0.281074219	0.023437500
-0.281074219	0.018066406
-0.281074219	0.022460937
-0.281074219	0.018066406
-0.171767578	0.025878906
-0.046845703	0.019042969
-0.000000000	0.021972656
0.031230469	0.018554687
0.031230469	0.024414062
0.031230469	0.018554687
0.015615234	0.037109375
0.031230469	0.028320312
0.062460938	0.029296875
0.109306641	0.022460937
0.109306641	0.024902344
0.109306641	0.020507812
0.124921875	0.022949219
0.140537109	0.019042969
0.171767578	0.020019531
0.187382812	0.019042969
0.218613281	0.026855469
0.218613281	0.018554687
0.249843750	0.021972656
0.265458984	0.018554687
0.281074219	0.020996094
0.312304688	0.019042969
0.343535156	0.022460937
0.359150391	0.018554687
0.359150391	0.022460937
0.359150391	0.019042969
0.374765625	0.022949219
0.405996094	0.019042969
0.405996094	0.019042969
0.437226562	0.018554687
0.452841797	0.022949219
0.515302734	0.018554687
0.546533203	0.020507812
0.577763672	0.018554687
0.608994141	0.022949219
0.640224609	0.018554687
0.718300781	0.023925781
0.733916016	0.019042969
0.749531250	0.020019531
0.765146484	0.018554687
0.780761719	0.023437500
0.796376953	0.019042969
0.843222656	0.022949219
0.858837891	0.019042969
0.874453125	0.016601562
0.890068359	0.019042969
0.905683594	0.021972656
0.905683594	0.018554687
0.936914062	0.023437500
0.936914062	0.018554687
0.968144531	0.019042969
0.968144531	0.019531250
0.999375000	0.022949219
1.030605469	0.019531250
1.077451172	0.022460937
1.108681641	0.019531250
1.108681641	0.024902344
1.124296875	0.019042969
1.139912109	0.025390625
1.139912109	0.019531250
1.155527344	0.020507812
1.202373047	0.019042969
1.249218750	0.024902344
1.264833984	0.019042969
1.296064453	0.022949219
1.296064453	0.019042969
1.342910156	0.023925781
1.374140625	0.019042969
1.389755859	0.023437500
1.452216797	0.019042969
1.483447266	0.024902344
1.483447266	0.019042969
1.483447266	0.020996094
1.483447266	0.019042969
1.483447266	0.027343750
1.514677734	0.019531250
1.545908203	0.020996094
1.561523437	0.019531250
1.577138672	0.023437500
1.608369141	0.020019531
1.655214844	0.020507812
1.670830078	0.020019531
1.670830078	0.023437500
1.686445313	0.019531250
1.717675781	0.022460937
1.717675781	0.020019531
1.733291016	0.023925781
1.748906250	0.019531250
1.780136719	0.020507812
1.780136719	0.019531250
1.811367187	0.021972656
1.811367187	0.020019531
1.826982422	0.018554687
1.858212891	0.020019531
1.889443359	0.022949219
1.905058594	0.020019531
1.905058594	0.022460937
1.905058594	0.020019531
1.905058594	0.023925781
1.936289062	0.020019531
1.936289062	0.023925781
1.967519531	0.020019531
1.998750000	0.021484375
1.998750000	0.019531250
1.998750000	0.022460937
2.029980469	0.020019531
2.045595703	0.022460937
2.076826172	0.020507812
2.076826172	0.023925781
2.076826172	0.019531250
2.108056641	0.022949219
2.139287109	0.021484375
2.108056641	0.023925781
2.139287109	0.022949219
2.139287109	0.026367187
2.154902344	0.020996094
2.154902344	0.022460937
2.217363281	0.020507812
2.232978516	0.022949219
2.232978516	0.020996094
2.264208984	0.029296875
2.295439453	0.020019531
2.311054687	0.018066406
2.357900391	0.020507812
2.389130859	0.026855469
2.404746094	0.020507812
2.420361328	0.024902344
2.420361328	0.020507812
2.451591797	0.026367187
2.467207031	0.021484375
2.482822266	0.023437500
2.482822266	0.020996094
2.498437500	0.024902344
2.498437500	0.021484375
2.514052734	0.025390625
2.529667969	0.021484375
2.529667969	0.023437500
2.576513672	0.020996094
2.592128906	0.023925781
2.592128906	0.022949219
2.592128906	0.029785156
2.607744141	0.022460937
2.623359375	0.025390625
2.654589844	0.020996094
2.685820312	0.021484375
2.701435547	0.020507812
2.732666016	0.027343750
2.732666016	0.022949219
2.779511719	0.028808594
2.779511719	0.023437500
2.841972656	0.025390625
2.841972656	0.022949219
2.826357422	0.030273437
2.873203125	0.023925781
2.935664062	0.024414062
2.951279297	0.022460937
2.966894531	0.026367187
2.966894531	0.024414062
2.998125000	0.025878906
3.044970703	0.024902344
3.044970703	0.028808594
3.060585937	0.024414062
3.076201172	0.030761719
3.091816406	0.025390625
3.091816406	0.025390625
3.123046875	0.024902344
3.154277344	0.029785156
3.169892578	0.025390625
3.185507813	0.028320312
3.201123047	0.030273437
3.216738281	0.031250000
3.232353516	0.026367187
3.263583984	0.026855469
3.294814453	0.026367187
3.279199219	0.028320312
3.310429688	0.025390625
3.341660156	0.028808594
3.372890625	0.027343750
3.388505859	0.030273437
3.404121094	0.026367187
3.419736328	0.032714844
3.435351562	0.027832031
3.435351562	0.030761719
3.450966797	0.028320312
3.450966797	0.033203125
3.482197266	0.027343750
3.513427734	0.027343750
3.544658203	0.029785156
3.560273437	0.025390625
3.591503906	0.029785156
3.591503906	0.030761719
3.607119141	0.029785156
3.638349609	0.035156250
3.638349609	0.027832031
3.653964844	0.032226562
3.669580078	0.030273437
3.700810547	0.028808594
3.700810547	0.030273437
3.732041016	0.038574219
3.732041016	0.030273437
3.763271484	0.032226562
3.778886719	0.033691406
3.778886719	0.031738281
3.794501953	0.033691406
3.794501953	0.037109375
3.810117187	0.033691406
3.856962891	0.033203125
3.872578125	0.031738281
3.872578125	0.035156250
3.903808594	0.032226562
3.903808594	0.040527344
3.935039063	0.034667969
3.997500000	0.040527344
4.013115234	0.030761719
4.013115234	0.038085937
4.059960937	0.035644531
4.059960937	0.039062500
4.075576172	0.032714844
4.059960937	0.039062500
4.091191406	0.037597656
4.091191406	0.038574219
4.106806641	0.037597656
4.122421875	0.037597656
4.138037109	0.037109375
4.153652344	0.043457031
4.184882812	0.038085937
4.262958984	0.040527344
4.262958984	0.040039062
4.278574219	0.045898437
4.278574219	0.040039062
4.309804687	0.042480469
4.341035156	0.039062500
4.372265625	0.044433594
4.387880859	0.041503906
4.387880859	0.045410156
4.419111328	0.042968750
4.465957031	0.043945312
4.497187500	0.045898437
4.497187500	0.049316406
4.512802734	0.043457031
4.559648437	0.047851562
4.590878906	0.047851562
4.590878906	0.049804687
4.622109375	0.046875000
4.653339844	0.049316406
4.715800781	0.049316406
4.731416016	0.050781250
4.747031250	0.054199219
4.762646484	0.054199219
4.793876953	0.051269531
4.809492188	0.058105469
4.825107422	0.052246094
4.871953125	0.058105469
4.887568359	0.053710937
4.903183594	0.055664062
4.903183594	0.058593750
4.918798828	0.058105469
4.934414063	0.062500000
4.965644531	0.057617187
4.996875000	0.058105469
5.043720703	0.063476562
5.074951172	0.061523437
5.074951172	0.063476562
5.106181641	0.060546875
5.121796875	0.065429687
5.137412109	0.058593750
5.153027344	0.064453125
5.153027344	0.065429687
5.231103516	0.065917969
5.231103516	0.065917969
5.277949219	0.067871094
5.309179688	0.066894531
5.309179688	0.069335937
5.356025391	0.066894531
5.418486328	0.071289062
5.434101562	0.071289062
5.512177734	0.072753906
5.512177734	0.076171875
5.512177734	0.072265625
5.527792969	0.069824219
5.543408203	0.071777344
5.574638672	0.069824219
5.605869141	0.071289062
5.621484375	0.070312500
5.683945312	0.070800781
5.683945312	0.067382812
5.699560547	0.069824219
5.730791016	0.067871094
5.730791016	0.068847656
5.777636719	0.065917969
5.793251953	0.068359375
5.824482422	0.067382812
5.840097656	0.067871094
5.871328125	0.067382812
5.871328125	0.067382812
5.871328125	0.067382812
5.871328125	0.066894531
5.949404297	0.064453125
5.965019531	0.066406250
5.980634766	0.063964844
5.980634766	0.065429687
6.043095703	0.062988281
6.058710937	0.064941406
6.058710937	0.063964844
6.058710937	0.063964844
6.089941406	0.062500000
6.089941406	0.063476562
6.136787109	0.062988281
6.183632812	0.063476562
6.199248047	0.064453125
6.230478516	0.063964844
6.246093750	0.061035156
6.292939453	0.061035156
6.339785156	0.057617187
6.386630859	0.059082031
6.402246094	0.058105469
6.417861328	0.058105469
6.449091797	0.057128906
6.464707031	0.057128906
6.464707031	0.056152344
6.464707031	0.056152344
6.464707031	0.055175781
6.511552734	0.056152344
6.527167969	0.053710937
6.558398438	0.055664062
6.589628906	0.054687500
6.589628906	0.054199219
6.605244141	0.054687500
6.620859375	0.054199219
6.667705078	0.054199219
6.698935547	0.053222656
6.714550781	0.052246094
6.730166016	0.052246094
6.777011719	0.050292969
6.823857422	0.052246094
6.886318359	0.050292969
6.886318359	0.051757812
6.901933594	0.055664062
6.917548828	0.051757812
6.948779297	0.051269531
6.964394531	0.051757812
6.964394531	0.056152344
6.980009766	0.051757812
7.011240234	0.054687500
7.011240234	0.051269531
7.058085937	0.055175781
7.073701172	0.050781250
7.073701172	0.049804687
7.104931641	0.051269531
7.136162109	0.054687500
7.183007812	0.050781250
7.198623047	0.052246094
7.198623047	0.051269531
7.229853516	0.052246094
7.261083984	0.051757812
7.261083984	0.052246094
7.276699219	0.051269531
7.339160156	0.051757812
7.354775391	0.051757812
7.370390625	0.056640625
7.370390625	0.051269531
7.432851562	0.054199219
7.432851562	0.052734375
7.448466797	0.050292969
7.479697266	0.053222656
7.557773437	0.050292969
7.557773437	0.053710937
7.557773437	0.052734375
7.557773437	0.054687500
7.604619141	0.054199219
7.604619141	0.055664062
7.620234375	0.056640625
7.604619141	0.056152344
7.604619141	0.052734375
7.667080078	0.055664062
7.667080078	0.059082031
7.729541016	0.057128906
7.745156250	0.060546875
7.745156250	0.057617187
7.760771484	0.055664062
7.792001953	0.058105469
7.792001953	0.059570312
7.823232422	0.059082031
7.870078125	0.063964844
7.901308594	0.060546875
7.948154297	0.061523437
7.979384766	0.061523437
8.026230469	0.064941406
8.073076172	0.063964844
8.057460938	0.067382812
8.088691406	0.064453125
8.119921875	0.066406250
8.135537109	0.066406250
8.151152344	0.069335937
8.166767578	0.066406250
8.213613281	0.066894531
8.260458984	0.069824219
8.260458984	0.072753906
8.276074219	0.069824219
8.307304688	0.074218750
8.369765625	0.071777344
8.400996094	0.073242187
8.432226563	0.071777344
8.463457031	0.077148437
8.510302734	0.078613281
8.557148438	0.086425781
8.603994141	0.083496094
8.666455078	0.089355469
8.697685547	0.087402344
8.728916016	0.089843750
8.775761719	0.090332031
8.791376953	0.095214844
8.838222656	0.093261719
8.916298828	0.093750000
8.978759766	0.098144531
8.994375000	0.099121094
9.025605469	0.103515625
9.072451172	0.108398437
9.088066406	0.107910156
9.212988281	0.110839844
9.212988281	0.115234375
9.306679687	0.125976562
9.384755859	0.130371094
9.447216797	0.145507812
9.540908203	0.148437500
9.572138672	0.157226562
9.572138672	0.147949219
9.603369141	0.145507812
9.634599609	0.144042969
9.650214844	0.144042969
9.665830078	0.139648437
9.665830078	0.142578125
9.681445312	0.139648437
9.743906250	0.144042969
9.790751953	0.141113281
9.853212891	0.147949219
9.868828125	0.146484375
9.884443359	0.150878906
9.993750000	0.150390625
10.024980469	0.156738281
10.024980469	0.155273437
10.024980469	0.157714844
10.009365234	0.155761719
10.024980469	0.158691406
10.040595703	0.156250000
10.040595703	0.159179687
10.134287109	0.159667969
10.149902344	0.162597656
10.196748047	0.159179687
10.227978516	0.162109375
10.227978516	0.161132812
10.259208984	0.162597656
10.321669922	0.159179687
10.306054687	0.160156250
10.446591797	0.155273437
10.540283203	0.152832031
10.555898437	0.141601562
10.540283203	0.145019531
10.555898437	0.140136719
10.571513672	0.143066406
10.633974609	0.137207031
10.680820312	0.137695312
10.712050781	0.132324219
10.727666016	0.132324219
10.743281250	0.128417969
10.852587891	0.128417969
10.883818359	0.123046875
10.883818359	0.124023437
10.883818359	0.119140625
10.915048828	0.121093750
10.977509766	0.116210937
11.008740234	0.116210937
11.024355469	0.110839844
11.024355469	0.112792969
11.055585938	0.110351562
11.102431641	0.110839844
11.164892578	0.109375000
11.211738281	0.108398437
11.289814453	0.101074219
11.336660156	0.100097656
11.399121094	0.092285156
11.430351563	0.095214844
11.461582031	0.090332031
11.477197266	0.092773437
11.508427734	0.090820312
11.570888672	0.091308594
11.586503906	0.085449219
11.633349609	0.089843750
11.633349609	0.086425781
11.664580078	0.088378906
11.711425781	0.083496094
11.727041016	0.086914062
11.805117188	0.085449219
11.883193359	0.086425781
11.914423828	0.086914062
11.976884766	0.086425781
12.086191406	0.082519531
12.133037109	0.086914062
12.226728516	0.080078125
12.273574219	0.088378906
12.273574219	0.086914062
12.304804687	0.089355469
12.304804687	0.085449219
12.351650391	0.090332031
12.445341797	0.089843750
12.460957031	0.092773437
12.492187500	0.088378906
12.585878906	0.095703125
12.617109375	0.100585937
12.663955078	0.099121094
12.695185547	0.098632812
12.773261719	0.102539062
12.804492187	0.102050781
12.820107422	0.105957031
12.835722656	0.101562500
12.945029297	0.109375000
12.976259766	0.109863281
13.007490234	0.114257812
13.023105469	0.112304687
13.132412109	0.118652344
13.116796875	0.115722656
13.163642578	0.123046875
13.241718750	0.125000000
13.288564453	0.128906250
13.351025391	0.130859375
13.382255859	0.135742187
13.460332031	0.139648437
13.491562500	0.142089844
13.522792969	0.141601562
13.569638672	0.148925781
13.632099609	0.146484375
13.632099609	0.155761719
13.694560547	0.159667969
13.694560547	0.161621094
13.725791016	0.157226562
13.757021484	0.166015625
13.757021484	0.163574219
13.881943359	0.170898437
14.006865234	0.172851562
14.022480469	0.183105469
14.038095703	0.185546875
14.084941406	0.190429687
14.147402344	0.190429687
14.194248047	0.200195312
14.225478516	0.197265625
14.319169922	0.208496094
14.319169922	0.217773437
14.350400391	0.217773437
14.366015625	0.218261719
14.397246094	0.223144531
14.428476563	0.222656250
