Chart Recorder Data File Tue, Mar 22, 2022 9:54 AM
CH1 (V)  	CH2 (V)  
-0.249843750	0.001953125
-0.265458984	0.008789062
-0.265458984	0.002441406
-0.249843750	0.014160156
-0.265458984	0.000976562
-0.249843750	0.010253906
-0.249843750	0.000488281
-0.265458984	0.005859375
-0.249843750	-0.000488281
-0.281074219	0.006835937
-0.249843750	-0.000488281
-0.249843750	0.007324219
-0.109306641	0.000000000
-0.031230469	0.004882812
0.156152344	0.000000000
0.327919922	0.006347656
0.484072266	0.000488281
0.577763672	0.006347656
0.624609375	0.000488281
0.640224609	0.006835937
0.718300781	0.000488281
0.702685547	0.008789062
0.733916016	0.000000000
0.827607422	0.005371094
0.874453125	0.000488281
0.890068359	0.005859375
0.905683594	0.000000000
0.905683594	0.004882812
0.952529297	0.000976562
0.999375000	0.005859375
1.108681641	0.000000000
1.139912109	0.005371094
1.202373047	0.000976562
1.217988281	0.004394531
1.280449219	0.000488281
1.296064453	0.005371094
1.342910156	0.000488281
1.405371094	0.002441406
1.483447266	0.000976562
1.483447266	0.004882812
1.577138672	0.000976562
1.639599609	0.003417969
1.670830078	0.000976562
1.717675781	0.002929687
1.764521484	0.000976562
1.795751953	0.005371094
1.826982422	0.000976562
1.873828125	0.003417969
1.951904297	0.001953125
1.983134766	0.002441406
2.061210937	0.001464844
2.123671875	0.002441406
2.170517578	0.000976562
2.217363281	0.016601562
2.264208984	0.029296875
2.295439453	0.021972656
2.357900391	0.014160156
2.373515625	0.012207031
2.404746094	0.007324219
2.435976563	0.009765625
2.467207031	0.004882812
2.498437500	0.013183594
2.545283203	0.003906250
2.576513672	0.007812500
2.576513672	0.003906250
2.592128906	0.005371094
2.623359375	0.003906250
2.654589844	0.007812500
2.701435547	0.003906250
2.763896484	0.011718750
2.810742187	0.004394531
2.826357422	0.003906250
2.841972656	0.002929687
2.857587891	0.008300781
2.904433594	0.002929687
2.951279297	0.005371094
2.982509766	0.003906250
3.060585937	0.008789062
3.076201172	0.003906250
3.091816406	0.004882812
3.154277344	0.003417969
3.169892578	0.008300781
3.216738281	0.002929687
3.279199219	0.009765625
3.294814453	0.003417969
3.310429688	0.005859375
3.388505859	0.003906250
3.435351562	0.011230469
3.450966797	0.003417969
3.544658203	0.011718750
3.544658203	0.004394531
3.591503906	0.014648437
3.622734375	0.005371094
3.669580078	0.013183594
3.685195312	0.005371094
3.732041016	0.016113281
3.763271484	0.005371094
3.778886719	0.013671875
3.810117187	0.008789062
3.856962891	0.016113281
3.903808594	0.010253906
3.981884766	0.017089844
3.997500000	0.009277344
4.091191406	0.020019531
4.122421875	0.011718750
4.122421875	0.020507812
4.184882812	0.012695312
4.200498047	0.023437500
4.231728516	0.016113281
4.262958984	0.024414062
4.294189453	0.017578125
4.309804687	0.025878906
4.309804687	0.018554687
4.372265625	0.026367187
4.403496094	0.022460937
4.450341797	0.028320312
4.512802734	0.025390625
4.559648437	0.030273437
4.590878906	0.025878906
4.606494141	0.032714844
4.606494141	0.027832031
4.637724609	0.034179687
4.653339844	0.030273437
4.731416016	0.035644531
4.747031250	0.031738281
4.793876953	0.038574219
4.825107422	0.032714844
4.840722656	0.040039062
4.871953125	0.037109375
4.903183594	0.042480469
4.950029297	0.039062500
4.981259766	0.044921875
5.012490234	0.041992187
5.059335938	0.047851562
5.090566406	0.043457031
5.121796875	0.050292969
5.121796875	0.050781250
5.184257813	0.054199219
5.277949219	0.054687500
5.293564453	0.058593750
5.324794922	0.059082031
5.356025391	0.062011719
5.402871094	0.061523437
5.418486328	0.064941406
5.465332031	0.065429687
5.512177734	0.066894531
5.512177734	0.065429687
5.527792969	0.067871094
5.543408203	0.070800781
5.559023437	0.068359375
5.574638672	0.069335937
5.621484375	0.068847656
5.652714844	0.072265625
5.683945312	0.067382812
5.715175781	0.068359375
5.762021484	0.066406250
5.793251953	0.070312500
5.855712891	0.064941406
5.855712891	0.065429687
5.886943359	0.063964844
5.902558594	0.065917969
5.965019531	0.062500000
5.980634766	0.062988281
6.043095703	0.061523437
6.058710937	0.062988281
6.089941406	0.060058594
6.121171875	0.064453125
6.168017578	0.058593750
6.214863281	0.058105469
6.230478516	0.057128906
6.230478516	0.059570312
6.292939453	0.054687500
6.308554688	0.053710937
6.355400391	0.052734375
6.386630859	0.054199219
6.402246094	0.051269531
6.449091797	0.055664062
6.495937500	0.049316406
6.558398438	0.052246094
6.574013672	0.047851562
6.589628906	0.050292969
6.605244141	0.045898437
6.683320313	0.050781250
6.698935547	0.043457031
6.761396484	0.047851562
6.808242188	0.041503906
6.808242188	0.049804687
6.870703125	0.040039062
6.901933594	0.047363281
6.933164062	0.038574219
6.948779297	0.046875000
6.995625000	0.038574219
7.026855469	0.048339844
7.058085937	0.036132812
7.089316406	0.049316406
7.136162109	0.052734375
7.151777344	0.047363281
7.151777344	0.037597656
7.183007812	0.048339844
7.198623047	0.038085937
7.261083984	0.049804687
7.276699219	0.038574219
7.276699219	0.046875000
7.307929687	0.038085937
7.339160156	0.046875000
7.339160156	0.041015625
