Chart Recorder Data File Tue, Mar 22, 2022 9:58 AM
CH1 (V)  	CH2 (V)  
-0.281074219	-0.002441406
-0.281074219	0.005371094
-0.281074219	0.004394531
-0.281074219	0.007812500
-0.265458984	0.002441406
-0.281074219	0.006347656
-0.281074219	0.000976562
-0.265458984	0.004882812
-0.265458984	0.000488281
-0.265458984	0.006347656
-0.281074219	-0.000488281
-0.265458984	0.005859375
0.187382812	0.000488281
0.187382812	0.004882812
0.249843750	0.000488281
0.327919922	0.004394531
0.390380859	0.000000000
0.437226562	0.004882812
0.515302734	0.000000000
0.530917969	0.007324219
0.546533203	0.000000000
0.593378906	0.005859375
0.624609375	0.000000000
0.718300781	0.005371094
0.749531250	0.000000000
0.843222656	0.005859375
0.905683594	0.000000000
0.936914062	0.005371094
1.014990234	0.000488281
1.077451172	0.007324219
1.124296875	0.000976562
1.139912109	0.006835937
1.202373047	0.000976562
1.296064453	0.006835937
1.358525391	0.000976562
1.389755859	0.007812500
1.405371094	0.000488281
1.499062500	0.004882812
1.499062500	0.000976562
1.577138672	0.008789062
1.639599609	0.001464844
1.686445313	0.006347656
1.748906250	0.001464844
1.811367187	0.009277344
1.842597656	0.001953125
1.889443359	0.006835937
1.905058594	0.001464844
1.967519531	0.010253906
1.983134766	0.001953125
2.029980469	0.008789062
2.076826172	0.001953125
2.108056641	0.007812500
2.139287109	0.002441406
2.170517578	0.006347656
2.248593750	0.002929687
2.311054687	0.008789062
2.295439453	0.003417969
2.357900391	0.011718750
2.420361328	0.003906250
2.467207031	0.011718750
2.529667969	0.003906250
2.576513672	0.012207031
2.607744141	0.005371094
2.654589844	0.012207031
2.701435547	0.005371094
2.732666016	0.014648437
2.779511719	0.006347656
2.841972656	0.013183594
2.935664062	0.006835937
2.951279297	0.013671875
2.966894531	0.007812500
3.029355469	0.017089844
3.076201172	0.009277344
3.091816406	0.011230469
3.123046875	0.009765625
3.185507813	0.017578125
3.232353516	0.010742187
3.294814453	0.018066406
3.294814453	0.011718750
3.326044922	0.017578125
3.326044922	0.011718750
3.388505859	0.020507812
3.419736328	0.013183594
3.466582031	0.018066406
3.482197266	0.014160156
3.497812500	0.025390625
3.544658203	0.015625000
3.560273437	0.023437500
3.591503906	0.016113281
3.591503906	0.022949219
3.653964844	0.017089844
3.700810547	0.020019531
3.716425781	0.017578125
3.763271484	0.023437500
3.794501953	0.019042969
3.825732422	0.026367187
3.856962891	0.020507812
3.872578125	0.026367187
3.903808594	0.020996094
3.919423828	0.029296875
3.981884766	0.022949219
3.997500000	0.028808594
4.013115234	0.023437500
4.075576172	0.030273437
4.091191406	0.025390625
4.138037109	0.037597656
4.153652344	0.026367187
4.200498047	0.034667969
4.231728516	0.026367187
4.247343750	0.032714844
4.262958984	0.028320312
4.278574219	0.037109375
4.294189453	0.030273437
4.309804687	0.039062500
4.341035156	0.030761719
4.356650391	0.033691406
4.387880859	0.032226562
4.465957031	0.039550781
4.481572266	0.034179687
4.497187500	0.039062500
4.544033203	0.036132812
4.590878906	0.041992187
4.590878906	0.038085937
4.606494141	0.047851562
4.637724609	0.039550781
4.668955078	0.048339844
4.684570312	0.041015625
4.715800781	0.048339844
4.747031250	0.042968750
4.747031250	0.049804687
4.762646484	0.044921875
4.793876953	0.051757812
4.871953125	0.046386719
4.887568359	0.058105469
4.903183594	0.049316406
4.918798828	0.055664062
4.950029297	0.050292969
4.965644531	0.057128906
4.965644531	0.052734375
4.981259766	0.057617187
5.028105469	0.054199219
5.090566406	0.062011719
5.090566406	0.056640625
5.121796875	0.067871094
5.215488281	0.060546875
5.246718750	0.070312500
5.277949219	0.065429687
5.293564453	0.071289062
5.340410156	0.068359375
5.340410156	0.081542969
5.402871094	0.071777344
5.418486328	0.079101562
5.418486328	0.073242187
5.449716797	0.080566406
5.465332031	0.074707031
5.465332031	0.081542969
5.512177734	0.075195312
5.527792969	0.086425781
5.574638672	0.076660156
5.605869141	0.083984375
5.621484375	0.075683594
5.652714844	0.083007812
5.699560547	0.075683594
5.777636719	0.086914062
5.855712891	0.072265625
5.855712891	0.078125000
5.918173828	0.070800781
5.949404297	0.074707031
5.980634766	0.068359375
5.996250000	0.074218750
6.043095703	0.065429687
6.089941406	0.072753906
6.089941406	0.064453125
6.136787109	0.071777344
6.246093750	0.062011719
6.246093750	0.070312500
6.292939453	0.060546875
6.308554688	0.065429687
6.308554688	0.059082031
6.339785156	0.067382812
6.355400391	0.058105469
6.371015625	0.069824219
6.417861328	0.057617187
6.449091797	0.064941406
6.464707031	0.055664062
6.464707031	0.065917969
6.464707031	0.054687500
6.495937500	0.062011719
6.558398438	0.054687500
6.558398438	0.064453125
6.574013672	0.054687500
6.620859375	0.063964844
6.667705078	0.058105469
6.683320313	0.062500000
6.730166016	0.052246094
6.745781250	0.061523437
6.777011719	0.052246094
6.777011719	0.061035156
6.808242188	0.051269531
6.839472656	0.060058594
6.870703125	0.051269531
6.917548828	0.061523437
6.995625000	0.051269531
6.995625000	0.060058594
7.026855469	0.051269531
7.089316406	0.058593750
7.089316406	0.052734375
7.120546875	0.062011719
7.167392578	0.054687500
7.292314453	0.057128906
7.370390625	0.053710937
7.370390625	0.057617187
7.401621094	0.053222656
7.432851562	0.059570312
7.464082031	0.049316406
7.557773437	0.056640625
7.573388672	0.054687500
7.604619141	0.061035156
