3.069,0.498,2.765,0.498,3.074,0.675,1.303,0.498,1.101,0.876,1.257,0.498,0.982,0.498,0.806,0.498,1.109,0.498,0.403,0.498,0.747,0.498,0.519,0.498,0.009,3.955,0.392,0.498,0.483,0.498
3.119,0.675,2.815,0.675,3.124,0.675,1.354,0.675,1.151,1.222,1.307,0.675,1.032,0.675,0.856,0.675,1.159,0.675,0.453,1.222,0.798,0.675,0.569,0.675,0.109,5.049,0.442,0.675,0.533,1.768
3.17,0.675,2.866,1.222,3.174,1.222,1.403,1.222,1.202,1.768,1.357,1.222,1.082,2.315,0.906,1.768,1.209,1.222,0.503,2.862,0.847,2.315,0.619,2.315,0.159,5.049,0.492,2.862,0.583,4.502
3.22,1.222,2.915,1.222,3.224,1.222,1.453,1.768,1.251,2.315,1.407,2.315,1.132,3.409,0.956,3.409,1.259,2.862,0.553,5.595,0.897,4.502,0.669,5.049,0.209,5.595,0.542,6.142,0.633,8.876
3.269,1.768,2.965,1.768,3.274,1.768,1.503,2.862,1.301,3.409,1.457,2.862,1.182,4.502,1.006,4.502,1.309,3.955,0.603,7.782,0.947,7.236,0.719,7.782,0.259,7.782,0.592,9.969,0.683,12.703
3.319,1.768,3.015,1.768,3.324,2.315,1.553,3.409,1.351,3.955,1.507,3.409,1.232,6.142,1.056,5.595,1.359,5.595,0.653,10.516,0.997,9.969,0.769,10.516,0.309,0.675,0.642,14.343,0.733,16.53
3.369,2.315,3.066,2.315,3.374,2.315,1.603,4.502,1.401,4.502,1.557,4.502,1.282,7.236,1.106,7.236,1.409,6.689,0.703,12.703,1.047,12.156,0.819,12.703,0.362,0.675,0.692,17.624,0.783,20.358
3.419,2.862,3.115,2.862,3.424,2.862,1.653,5.049,1.451,5.595,1.607,5.049,1.332,8.329,1.156,8.329,1.459,8.329,0.753,15.437,1.097,14.89,0.869,15.437,0.409,0.675,0.743,21.451,0.833,23.638
3.469,2.862,3.165,2.862,3.474,3.409,1.703,5.595,1.502,6.142,1.657,6.142,1.382,9.423,1.206,9.969,1.509,9.423,0.804,18.171,1.147,17.077,0.919,18.171,0.459,0.675,0.792,25.278,0.883,27.465
3.519,3.409,3.215,3.409,3.524,3.409,1.753,6.689,1.551,7.236,1.707,6.689,1.432,10.516,1.256,11.063,1.559,10.516,0.853,20.358,1.197,19.264,0.969,20.358,0.509,23.638,0.842,28.559,0.933,30.746
