Motion Through Fluids Experiment Thu, Oct 29, 2020 9:50 AM
Time(sec)	Position(mm)
0.018	0.000
0.068	0.000
0.118	0.000
0.168	0.000
0.218	0.000
0.268	0.000
0.318	0.000
0.368	0.675
0.418	3.955
0.468	7.782
0.518	11.610
0.568	15.984
0.618	20.358
0.668	24.732
0.718	29.105
0.768	33.479
0.818	38.947
0.868	43.321
0.918	47.695
0.968	52.069
1.018	56.443
1.068	60.817
1.118	65.191
1.168	70.111
1.218	74.485
1.268	79.406
1.318	83.780
1.368	88.701
1.418	93.074
1.468	97.995
1.518	102.369
1.568	106.743
1.618	111.117
1.668	116.038
1.718	120.412
1.768	124.786
1.818	129.706
1.868	134.080
1.918	138.454
1.968	143.375
2.018	147.749
2.068	152.670
2.118	157.043
2.168	161.964
2.218	166.885
2.268	171.259
2.318	175.633
2.368	180.553
2.418	184.927
2.468	189.301
2.518	193.675
2.568	198.596
2.618	202.970
2.668	207.891
2.718	212.265
2.768	217.185
2.818	221.559
2.868	226.480
2.918	230.854
2.968	235.775
3.018	240.148
3.068	245.069
3.118	249.990
3.168	254.364
3.218	0.000
3.268	0.000
3.318	0.000
3.368	0.000
3.418	0.000
3.468	0.000
3.518	0.000
3.568	0.000
3.618	0.000
3.668	0.000
3.718	0.000
3.768	0.000
