Motion Through Fluids Experiment Thu, Oct 29, 2020 9:39 AM
Time(sec)	Position(mm)
0.029	18.717
0.079	25.278
0.129	31.839
0.179	37.853
0.229	44.414
0.279	50.975
0.329	57.536
0.379	64.644
0.429	71.205
0.479	78.312
0.529	84.873
0.579	92.528
0.629	99.635
0.679	106.743
0.729	114.397
0.779	121.505
0.829	129.160
0.879	136.267
0.929	143.922
0.979	151.576
1.029	158.684
1.079	166.338
1.129	173.992
1.179	181.647
1.229	189.301
1.279	196.956
1.329	204.610
1.380	212.265
1.429	219.919
1.479	227.573
1.529	235.228
1.579	242.882
1.629	251.083
1.679	0.000
1.730	0.000
1.779	0.000
1.829	0.000
1.879	0.000
1.929	0.000
1.980	0.000
2.029	0.000
2.079	0.000
2.129	0.000
2.179	0.000
2.229	0.000
2.279	0.000
