Motion Through Fluids Experiment Thu, Oct 29, 2020 9:46 AM
Time(sec)	Position(mm)
0.046	2.315
0.096	2.315
0.146	2.315
0.196	2.862
0.246	0.675
0.296	1.222
0.346	1.222
0.396	0.675
0.446	0.675
0.496	0.675
0.546	0.675
0.596	0.675
0.646	0.675
0.696	40.587
0.746	46.055
0.796	50.975
0.846	56.443
0.896	61.910
0.946	67.378
0.996	72.845
1.046	77.766
1.096	83.233
1.146	88.701
1.196	94.168
1.246	99.635
1.297	105.103
1.346	110.024
1.396	114.944
1.446	120.958
1.496	126.426
1.546	130.800
1.596	136.267
1.646	141.735
1.696	147.202
1.746	152.670
1.796	158.137
1.846	164.151
1.896	169.619
1.947	174.539
1.996	180.553
2.046	186.021
2.096	191.488
2.146	196.956
2.196	202.423
2.246	207.891
2.296	212.811
2.346	218.279
2.396	224.293
2.446	229.214
2.496	235.228
2.546	240.695
2.596	246.163
2.647	251.630
2.696	255.457
2.746	0.000
2.796	0.000
2.846	0.000
2.896	0.000
2.946	0.000
2.996	0.000
3.046	0.000
3.096	0.000
3.146	0.000
3.196	0.000
3.246	0.000
3.296	0.000
3.346	0.000
3.396	0.000
3.446	0.000
3.496	0.000
3.546	0.000
3.596	0.000
3.646	0.000
3.696	0.000
3.746	0.000
3.797	0.000
