Motion Through Fluids Experiment Thu, Oct 29, 2020 9:40 AM
Time(sec)	Position(mm)
0.008	42.227
0.108	52.069
0.158	56.989
0.209	62.457
0.258	66.831
0.308	72.298
0.358	78.312
0.409	83.780
0.458	89.247
0.508	94.715
0.558	99.635
0.608	105.103
0.658	110.024
0.708	116.038
0.758	122.052
0.808	128.066
0.858	134.080
0.908	140.641
0.958	146.655
1.009	153.216
1.058	159.230
1.108	164.698
1.158	170.712
1.208	176.726
1.258	183.287
1.308	189.848
1.358	195.862
1.409	202.423
1.458	208.984
1.508	215.545
1.558	222.106
1.608	228.667
1.658	235.228
1.708	242.335
1.758	248.896
1.808	254.364
1.858	0.000
1.908	0.000
1.958	0.000
2.008	0.000
2.058	0.000
2.108	0.000
2.158	0.000
2.208	0.000
2.258	0.000
2.308	0.000
2.358	0.000
2.408	0.000
