Motion Through Fluids Experiment Thu, Oct 29, 2020 9:48 AM
Time(sec)	Position(mm)
0.023	0.000
0.123	0.000
0.223	0.000
0.273	0.000
0.324	0.000
0.373	0.000
0.423	0.000
0.473	1.222
0.523	4.502
0.573	8.876
0.623	14.890
0.673	19.811
0.723	24.185
0.773	29.105
0.823	34.573
0.873	39.494
0.923	44.961
0.973	50.428
1.023	55.896
1.073	61.363
1.123	66.831
1.173	72.298
1.223	77.219
1.273	82.140
1.323	87.607
1.373	92.528
1.423	97.448
1.473	102.916
1.523	108.383
1.573	113.304
1.623	118.771
1.673	124.239
1.723	129.706
1.773	134.627
1.823	140.094
1.873	145.562
1.923	150.483
1.973	155.950
2.023	161.417
2.073	166.885
2.123	172.352
2.173	177.820
2.223	183.834
2.273	189.301
2.323	194.222
2.373	199.689
2.423	205.157
2.473	210.624
2.523	215.545
2.573	221.012
2.623	225.933
2.673	231.401
2.723	236.868
2.773	242.335
2.823	247.803
2.873	252.724
2.923	0.000
2.973	0.000
3.023	0.000
3.073	0.000
3.123	0.000
3.173	0.000
3.224	0.000
3.273	0.000
3.323	0.000
3.373	0.000
3.423	0.000
3.473	0.000
