Motion Through Fluids Experiment Thu, Oct 29, 2020 9:49 AM
Time(sec)	Position(mm)
0.009	0.000
0.110	0.000
0.159	0.000
0.209	0.000
0.259	0.000
0.309	0.675
0.359	3.409
0.409	7.236
0.459	11.063
0.509	14.890
0.559	18.717
0.609	23.091
0.659	27.465
0.709	32.386
0.759	36.760
0.809	41.134
0.859	46.055
0.909	50.428
0.959	54.802
1.009	59.723
1.059	64.097
1.109	69.018
1.159	73.392
1.209	77.766
1.259	82.686
1.309	87.060
1.359	91.981
1.409	96.355
1.459	101.276
1.509	105.650
1.559	110.570
1.609	114.944
1.659	119.865
1.709	124.239
1.759	129.160
1.809	133.533
1.859	137.907
1.909	142.828
1.959	147.202
2.009	151.576
2.059	156.497
2.109	160.871
2.159	165.791
2.209	170.165
2.259	174.539
2.309	178.913
2.359	183.287
2.409	188.208
2.459	192.035
2.509	196.956
2.559	201.330
2.609	206.250
2.660	210.624
2.709	214.998
2.759	219.919
2.809	224.293
2.859	228.667
2.910	233.588
2.959	237.962
3.009	242.335
3.059	246.709
3.109	250.537
3.159	254.911
3.209	0.000
3.259	0.000
3.309	0.000
3.359	0.000
3.409	0.000
3.459	0.000
3.509	0.000
3.559	0.000
3.609	0.000
3.659	0.000
3.709	0.000
3.759	0.000
3.810	0.000
