Motion Through Fluids Experiment Thu, Oct 29, 2020 9:44 AM
Time(sec)	Position(mm)
0.013	0.000
0.062	0.000
0.112	0.000
0.162	0.000
0.212	0.000
0.262	1.222
0.312	3.409
0.363	7.236
0.412	11.610
0.462	16.530
0.512	21.451
0.562	26.918
0.612	31.292
0.663	36.760
0.712	41.681
0.762	46.055
0.812	50.975
0.862	55.896
0.912	60.817
0.962	65.737
1.012	71.205
1.062	76.672
1.112	82.686
1.162	88.154
1.212	94.168
1.262	100.182
1.312	106.196
1.362	111.664
1.412	117.678
1.462	122.599
1.512	129.160
1.562	134.627
1.612	140.094
1.662	145.015
1.712	151.029
1.762	157.043
1.812	163.058
1.862	169.072
1.912	175.086
1.962	181.100
2.012	187.114
2.062	193.129
2.112	199.143
2.162	205.157
2.212	211.171
2.262	217.185
2.312	223.199
2.362	229.214
2.412	235.228
2.462	241.242
2.512	247.256
2.562	253.270
2.612	0.000
2.663	0.000
2.712	0.000
2.762	0.000
2.812	0.000
2.862	0.000
2.913	0.000
2.962	0.000
3.012	0.000
3.062	0.000
