Motion Through Fluids Experiment Thu, Oct 29, 2020 9:52 AM
Time(sec)	Position(mm)
0.025	0.675
0.125	0.675
0.175	0.675
0.225	1.222
0.275	2.315
0.325	1.768
0.375	1.222
0.425	1.768
0.475	1.222
0.525	1.222
0.575	1.222
0.625	1.222
0.675	1.222
0.725	1.222
0.775	1.222
0.825	1.222
0.876	1.222
0.925	1.222
0.975	0.675
1.025	38.400
1.075	41.681
1.125	44.414
1.175	48.241
1.225	51.522
1.275	54.256
1.325	58.083
1.375	61.363
1.425	64.644
1.475	67.924
1.525	71.751
1.575	75.032
1.625	78.312
1.675	82.140
1.725	85.420
1.775	88.701
1.825	92.528
1.875	95.808
1.925	99.089
1.975	102.916
2.025	106.196
2.075	109.477
2.125	113.304
2.175	116.584
2.226	119.865
2.275	123.145
2.325	126.973
2.375	130.253
2.425	133.533
2.475	137.361
2.525	140.641
2.575	143.922
2.625	147.749
2.675	151.029
2.725	154.310
2.775	158.137
2.825	161.417
2.875	165.245
2.925	168.525
2.975	171.806
3.026	175.633
3.075	178.913
3.125	182.194
3.175	186.021
3.225	189.301
3.275	192.582
3.325	196.409
3.375	199.689
3.425	203.517
3.475	206.797
3.526	210.078
3.575	213.358
3.625	217.185
3.675	220.466
3.725	224.293
3.775	227.573
3.825	230.854
3.875	234.134
3.925	237.962
3.975	241.242
4.025	245.069
4.075	248.350
4.125	251.630
4.175	255.457
4.225	0.000
4.275	0.000
4.325	0.000
4.375	0.000
4.425	0.000
4.475	0.000
4.525	0.000
4.576	0.000
4.625	0.000
