Motion Through Fluids Experiment Thu, Oct 29, 2020 9:42 AM
Time(sec)	Position(mm)
0.020	7.782
0.120	7.782
0.220	8.329
0.270	5.595
0.320	7.782
0.370	6.689
0.420	5.049
0.470	3.409
0.520	1.222
0.570	34.573
0.620	40.040
0.670	45.508
0.720	51.522
0.770	56.989
0.820	63.004
0.870	68.471
0.920	73.938
0.970	79.953
1.020	85.420
1.070	91.434
1.120	97.448
1.170	103.463
1.220	109.477
1.270	115.491
1.320	121.505
1.370	127.519
1.420	133.533
1.470	139.548
1.521	145.562
1.571	151.576
1.620	157.590
1.670	163.604
1.720	169.619
1.771	176.179
1.820	182.194
1.870	188.755
1.920	194.769
1.970	201.330
2.020	207.344
2.070	213.358
2.120	219.919
2.170	225.933
2.220	232.494
2.270	238.508
2.320	244.522
2.370	251.083
2.420	254.911
2.470	0.000
2.520	0.000
2.570	0.000
2.620	0.000
2.670	0.000
2.720	0.000
2.770	0.000
2.820	0.000
2.870	0.000
2.921	0.000
2.970	0.000
3.020	0.000
3.070	0.000
3.120	0.000
