Motion Through Fluids Experiment Thu, Oct 29, 2020 9:40 AM
Time(sec)	Position(mm)
0.026	2.862
0.126	13.250
0.176	19.264
0.226	25.278
0.276	30.746
0.326	36.760
0.376	42.774
0.426	48.788
0.476	54.256
0.526	60.270
0.576	66.284
0.626	72.845
0.676	79.406
0.726	85.967
0.776	92.528
0.826	99.089
0.876	106.196
0.926	113.304
0.976	120.412
1.026	126.973
1.076	134.080
1.126	141.188
1.176	148.296
1.226	155.403
1.276	161.964
1.326	167.978
1.376	176.179
1.426	182.740
1.476	188.755
1.526	195.862
1.576	202.970
1.626	210.078
1.676	217.185
1.726	224.840
1.776	231.947
1.826	239.055
1.876	246.709
1.927	253.270
1.977	0.000
2.026	0.000
2.076	0.000
2.126	0.000
2.177	0.000
2.226	0.000
2.276	0.000
2.326	0.000
2.376	0.000
2.426	0.000
2.476	0.000
