1.52,80.499,1.742,84.327,1.525,71.751,1.623,118.771,1.459,101.276,1.468,97.995,1.342,116.038,1.196,94.168,1.518,113.304,1.27,115.491,1.486,126.426,1.362,111.664,1.179,181.647,1.226,155.403,1.208,176.726
1.57,84.327,1.792,87.607,1.575,75.032,1.673,124.239,1.509,105.65,1.518,102.369,1.392,121.505,1.246,99.635,1.568,118.771,1.32,121.505,1.536,132.44,1.412,117.678,1.229,189.301,1.276,161.964,1.258,183.287
1.62,87.607,1.842,91.434,1.625,78.312,1.723,129.706,1.559,110.57,1.568,106.743,1.442,126.426,1.297,105.103,1.618,124.239,1.37,127.519,1.586,138.454,1.462,122.599,1.279,196.956,1.326,167.978,1.308,189.848
1.67,91.434,1.892,95.261,1.675,82.14,1.773,134.627,1.609,114.944,1.618,111.117,1.492,131.893,1.346,110.024,1.668,129.706,1.42,133.533,1.636,144.468,1.512,129.16,1.329,204.61,1.376,176.179,1.358,195.862
1.72,95.261,1.942,98.542,1.725,85.42,1.823,140.094,1.659,119.865,1.668,116.038,1.542,137.907,1.396,114.944,1.718,135.72,1.47,139.548,1.687,149.936,1.562,134.627,1.38,212.265,1.426,182.74,1.409,202.423
1.77,98.542,1.992,102.369,1.775,88.701,1.873,145.562,1.709,124.239,1.718,120.412,1.592,143.375,1.446,120.958,1.768,141.188,1.521,145.562,1.736,155.95,1.612,140.094,1.429,219.919,1.476,188.755,1.458,208.984
1.82,102.369,2.042,106.196,1.825,92.528,1.923,150.483,1.759,129.16,1.768,124.786,1.642,148.842,1.496,126.426,1.818,146.655,1.571,151.576,1.786,162.511,1.662,145.015,1.479,227.573,1.526,195.862,1.508,215.545
1.87,105.65,2.092,110.024,1.875,95.808,1.973,155.95,1.809,133.533,1.818,129.706,1.692,154.31,1.546,130.8,1.868,152.67,1.62,157.59,1.836,168.525,1.712,151.029,1.529,235.228,1.576,202.97,1.558,222.106
1.92,109.477,2.142,113.851,1.925,99.089,2.023,161.417,1.859,137.907,1.868,134.08,1.742,160.324,1.596,136.267,1.918,158.137,1.67,163.604,1.886,174.539,1.762,157.043,1.579,242.882,1.626,210.078,1.608,228.667
1.97,113.304,2.192,117.131,1.975,102.916,2.073,166.885,1.909,142.828,1.918,138.454,1.792,165.791,1.646,141.735,1.968,163.604,1.72,169.619,1.936,181.1,1.812,163.058,1.629,251.083,1.676,217.185,1.658,235.228
2.02,116.584,2.242,120.958,2.025,106.196,2.123,172.352,1.959,147.202,1.968,143.375,1.842,171.259,1.696,147.202,2.019,169.072,1.771,176.179,1.986,187.114,1.862,169.072,0,0,1.726,224.84,1.708,242.335
2.07,120.412,2.293,124.239,2.075,109.477,2.173,177.82,2.009,151.576,2.018,147.749,1.892,176.726,1.746,152.67,2.068,174.539,1.82,182.194,2.036,193.675,1.912,175.086,0,0,1.776,231.947,1.758,248.896
2.12,124.239,2.342,128.066,2.125,113.304,2.223,183.834,2.059,156.497,2.068,152.67,1.942,182.194,1.796,158.137,2.118,180.007,1.87,188.755,2.086,199.689,1.962,181.1,0,0,1.826,239.055,1.808,254.364
2.17,128.066,2.392,131.893,2.175,116.584,2.273,189.301,2.109,160.871,2.118,157.043,1.992,187.114,1.846,164.151,2.168,185.474,1.92,194.769,2.136,206.25,2.012,187.114,0,0,1.876,246.709,0,0
2.22,131.347,2.442,135.72,2.226,119.865,2.323,194.222,2.159,165.791,2.168,161.964,2.042,192.582,1.896,169.619,2.218,190.942,1.97,201.33,2.186,212.265,2.062,193.129,0,0,1.927,253.27,0,0
2.27,135.174,2.492,139.548,2.275,123.145,2.373,199.689,2.209,170.165,2.218,166.885,2.092,196.956,1.947,174.539,2.268,196.409,2.02,207.344,2.236,218.279,2.112,199.143,0,0,0,0,0,0
2.32,138.454,2.542,142.828,2.325,126.973,2.423,205.157,2.259,174.539,2.268,171.259,2.142,202.423,1.996,180.553,2.318,201.876,2.07,213.358,2.286,224.293,2.162,205.157,0,0,0,0,0,0
2.37,142.281,2.592,146.655,2.375,130.253,2.473,210.624,2.309,178.913,2.318,175.633,2.192,207.891,2.046,186.021,2.368,207.344,2.12,219.919,2.336,230.307,2.212,211.171,0,0,0,0,0,0
2.42,146.109,2.642,150.483,2.425,133.533,2.523,215.545,2.359,183.287,2.368,180.553,2.242,213.358,2.096,191.488,2.418,212.811,2.17,225.933,2.386,236.321,2.262,217.185,0,0,0,0,0,0
2.47,149.936,2.692,154.31,2.475,137.361,2.573,221.012,2.409,188.208,2.418,184.927,2.292,218.825,2.146,196.956,2.469,218.279,2.22,232.494,2.436,241.789,2.312,223.199,0,0,0,0,0,0
2.52,153.216,2.743,158.137,2.525,140.641,2.623,225.933,2.459,192.035,2.468,189.301,2.342,224.293,2.196,202.423,2.518,223.746,2.27,238.508,2.486,248.896,2.362,229.214,0,0,0,0,0,0
2.57,157.043,2.792,161.417,2.575,143.922,2.673,231.401,2.509,196.956,2.518,193.675,2.392,230.307,2.246,207.891,2.568,229.76,2.32,244.522,2.536,254.364,2.412,235.228,0,0,0,0,0,0
2.62,160.871,2.842,165.245,2.625,147.749,2.723,236.868,2.559,201.33,2.568,198.596,2.442,235.775,2.296,212.811,2.618,235.228,2.37,251.083,0,0,2.462,241.242,0,0,0,0,0,0
2.67,164.151,2.892,169.072,2.675,151.029,2.773,242.335,2.609,206.25,2.618,202.97,2.492,241.789,2.346,218.279,2.668,240.695,2.42,254.911,0,0,2.512,247.256,0,0,0,0,0,0
2.72,167.978,2.942,172.899,2.725,154.31,2.823,247.803,2.66,210.624,2.668,207.891,2.542,247.256,2.396,224.293,2.718,246.163,0,0,0,0,2.562,253.27,0,0,0,0,0,0
2.77,171.806,2.992,176.179,2.775,158.137,2.873,252.724,2.709,214.998,2.718,212.265,2.592,252.724,2.446,229.214,2.768,251.63,0,0,0,0,0,0,0,0,0,0,0,0
2.82,175.086,3.042,180.007,2.825,161.417,0,0,2.759,219.919,2.768,217.185,0,0,2.496,235.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.87,178.913,3.092,183.834,2.875,165.245,0,0,2.809,224.293,2.818,221.559,0,0,2.546,240.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.92,182.74,3.142,187.114,2.925,168.525,0,0,2.859,228.667,2.868,226.48,0,0,2.596,246.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.97,186.568,3.192,190.942,2.975,171.806,0,0,2.91,233.588,2.918,230.854,0,0,2.647,251.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.02,189.848,3.243,194.769,3.026,175.633,0,0,2.959,237.962,2.968,235.775,0,0,2.696,255.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.07,193.675,3.292,198.596,3.075,178.913,0,0,3.009,242.335,3.018,240.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,197.502,3.342,202.423,3.125,182.194,0,0,3.059,246.709,3.068,245.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.17,200.783,3.392,205.704,3.175,186.021,0,0,3.109,250.537,3.118,249.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.22,204.61,3.442,209.531,3.225,189.301,0,0,3.159,254.911,3.168,254.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.27,208.437,3.492,213.358,3.275,192.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.32,212.265,3.542,217.185,3.325,196.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.37,215.545,3.592,220.466,3.375,199.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.42,219.372,3.642,224.293,3.425,203.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.47,223.199,3.692,228.12,3.475,206.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.52,226.48,3.742,231.947,3.526,210.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.57,230.307,3.792,235.775,3.575,213.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.62,234.134,3.842,239.055,3.625,217.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.67,237.962,3.892,242.882,3.675,220.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.72,241.242,3.942,246.709,3.725,224.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.77,245.069,3.992,250.537,3.775,227.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.82,248.896,4.042,254.364,3.825,230.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.87,252.177,0,0,3.875,234.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3.925,237.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3.975,241.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4.025,245.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4.075,248.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4.125,251.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4.175,255.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
