Motion Through Fluids Experiment Thu, Oct 29, 2020 9:45 AM
Time(sec)	Position(mm)
0.042	0.000
0.092	0.000
0.142	0.000
0.192	0.000
0.242	1.768
0.293	6.142
0.342	10.516
0.392	15.437
0.442	20.358
0.492	25.278
0.542	30.199
0.592	35.120
0.642	40.040
0.692	45.508
0.742	50.428
0.792	55.896
0.842	60.817
0.892	66.284
0.942	71.751
0.992	77.219
1.042	83.233
1.092	88.701
1.142	94.168
1.193	99.635
1.242	105.650
1.292	110.570
1.342	116.038
1.392	121.505
1.442	126.426
1.492	131.893
1.542	137.907
1.592	143.375
1.642	148.842
1.692	154.310
1.742	160.324
1.792	165.791
1.842	171.259
1.892	176.726
1.942	182.194
1.992	187.114
2.042	192.582
2.092	196.956
2.142	202.423
2.192	207.891
2.242	213.358
2.292	218.825
2.342	224.293
2.392	230.307
2.442	235.775
2.492	241.789
2.542	247.256
2.592	252.724
2.642	0.000
2.692	0.000
2.742	0.000
2.792	0.000
2.842	0.000
2.892	0.000
2.942	0.000
2.992	0.000
3.042	0.000
