Motion Through Fluids Experiment Thu, Oct 29, 2020 9:43 AM
Time(sec)	Position(mm)
0.036	0.000
0.136	0.000
0.186	0.000
0.236	0.000
0.286	0.000
0.336	0.000
0.386	1.222
0.436	4.502
0.486	9.423
0.536	14.890
0.586	20.358
0.636	25.825
0.686	31.292
0.736	37.307
0.787	42.774
0.836	48.241
0.886	54.256
0.936	60.270
0.986	65.737
1.036	71.751
1.086	77.766
1.137	83.780
1.186	89.794
1.236	96.355
1.286	102.369
1.337	108.383
1.386	114.397
1.436	120.412
1.486	126.426
1.536	132.440
1.586	138.454
1.636	144.468
1.687	149.936
1.736	155.950
1.786	162.511
1.836	168.525
1.886	174.539
1.936	181.100
1.986	187.114
2.036	193.675
2.086	199.689
2.136	206.250
2.186	212.265
2.236	218.279
2.286	224.293
2.336	230.307
2.386	236.321
2.436	241.789
2.486	248.896
2.536	254.364
2.586	0.000
2.636	0.000
2.686	0.000
2.736	0.000
2.786	0.000
2.836	0.000
2.886	0.000
2.936	0.000
2.986	0.000
3.036	0.000
3.087	0.000
3.136	0.000
3.186	0.000
