Motion Through Fluids Experiment Thu, Oct 29, 2020 9:50 AM
Time(sec)	Position(mm)
0.020	0.000
0.070	0.000
0.120	0.000
0.170	0.000
0.220	0.000
0.270	0.000
0.320	0.000
0.370	1.768
0.420	3.955
0.470	6.689
0.520	9.969
0.570	13.250
0.620	16.530
0.670	19.811
0.720	23.091
0.770	26.918
0.820	30.199
0.870	34.026
0.920	37.307
0.970	41.134
1.020	44.414
1.070	48.241
1.120	51.522
1.170	55.349
1.220	59.176
1.270	63.004
1.320	66.284
1.370	70.111
1.420	73.938
1.470	76.672
1.520	80.499
1.570	84.327
1.620	87.607
1.670	91.434
1.720	95.261
1.770	98.542
1.820	102.369
1.870	105.650
1.920	109.477
1.970	113.304
2.020	116.584
2.070	120.412
2.120	124.239
2.170	128.066
2.220	131.347
2.270	135.174
2.320	138.454
2.370	142.281
2.420	146.109
2.470	149.936
2.520	153.216
2.570	157.043
2.620	160.871
2.670	164.151
2.720	167.978
2.770	171.806
2.820	175.086
2.870	178.913
2.920	182.740
2.970	186.568
3.020	189.848
3.070	193.675
3.120	197.502
3.170	200.783
3.220	204.610
3.270	208.437
3.320	212.265
3.370	215.545
3.420	219.372
3.470	223.199
3.520	226.480
3.570	230.307
3.620	234.134
3.670	237.962
3.720	241.242
3.770	245.069
3.820	248.896
3.870	252.177
3.920	0.000
3.970	0.000
4.020	0.000
4.070	0.000
4.120	0.000
4.170	0.000
4.220	0.000
4.270	0.000
4.320	0.000
4.370	0.000
4.420	0.000
4.470	0.000
4.520	0.000
4.570	0.000
4.620	0.000
