Motion Through Fluids Experiment Thu, Oct 29, 2020 9:47 AM
Time(sec)	Position(mm)
0.018	0.000
0.118	0.000
0.168	0.000
0.218	0.000
0.268	0.000
0.318	0.000
0.368	0.000
0.418	2.315
0.468	6.689
0.518	11.063
0.568	15.437
0.618	19.811
0.668	24.732
0.718	29.105
0.768	34.026
0.818	38.947
0.869	43.868
0.918	48.788
0.968	53.709
1.018	59.176
1.068	64.097
1.118	69.018
1.168	75.032
1.218	80.499
1.268	85.420
1.318	90.887
1.368	96.902
1.418	102.369
1.469	107.837
1.518	113.304
1.568	118.771
1.618	124.239
1.668	129.706
1.718	135.720
1.768	141.188
1.818	146.655
1.868	152.670
1.918	158.137
1.968	163.604
2.019	169.072
2.068	174.539
2.118	180.007
2.168	185.474
2.218	190.942
2.268	196.409
2.318	201.876
2.368	207.344
2.418	212.811
2.469	218.279
2.518	223.746
2.568	229.760
2.618	235.228
2.668	240.695
2.718	246.163
2.768	251.630
2.818	0.000
2.868	0.000
2.918	0.000
2.968	0.000
3.018	0.000
3.068	0.000
3.118	0.000
3.168	0.000
