*******************************************************************************
Ephemeris / WWW_USER Tue Aug 25 13:12:44 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2020-Dec-31 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : BOTH
EOP file        : eop.200824.p201115                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-AUG-24. PREDICTS-> 2020-NOV-14
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*************************************************************************************************************
 Date__(UT)__HR:MN Date_________JDUT     R.A._____(ICRF)_____DEC   APmag   S-brt            delta      deldot
*************************************************************************************************************
$$SOE
 2020-Feb-05 00:00 2458884.500000000     21 11 17.54 -16 13 42.1 -26.773 -10.589 0.98575731482230   0.2581513
 2020-Feb-06 00:00 2458885.500000000     21 15 19.29 -15 55 37.8 -26.773 -10.589 0.98590898365009   0.2671274
 2020-Feb-07 00:00 2458886.500000000     21 19 20.23 -15 37 17.2 -26.773 -10.589 0.98606594144569   0.2764587
 2020-Feb-08 00:00 2458887.500000000     21 23 20.35 -15 18 40.6 -26.772 -10.589 0.98622837545293   0.2860755
 2020-Feb-09 00:00 2458888.500000000     21 27 19.67 -14 59 48.5 -26.772 -10.589 0.98639641875068   0.2958594
 2020-Feb-10 00:00 2458889.500000000     21 31 18.19 -14 40 41.3 -26.771 -10.589 0.98657012252478   0.3056469
 2020-Feb-11 00:00 2458890.500000000     21 35 15.94 -14 21 19.3 -26.771 -10.589 0.98674943452261   0.3152476
 2020-Feb-12 00:00 2458891.500000000     21 39 12.92 -14 01 42.9 -26.771 -10.589 0.98693419131786   0.3244721
 2020-Feb-13 00:00 2458892.500000000     21 43 09.15 -13 41 52.6 -26.770 -10.589 0.98712412793572   0.3331623
 2020-Feb-14 00:00 2458893.500000000     21 47 04.65 -13 21 48.8 -26.770 -10.589 0.98731890208920   0.3412108
 2020-Feb-15 00:00 2458894.500000000     21 50 59.41 -13 01 31.7 -26.769 -10.589 0.98751812561041   0.3485659
 2020-Feb-16 00:00 2458895.500000000     21 54 53.46 -12 41 02.0 -26.769 -10.589 0.98772139508781   0.3552246
 2020-Feb-17 00:00 2458896.500000000     21 58 46.81 -12 20 19.8 -26.768 -10.589 0.98792831650501   0.3612201
 2020-Feb-18 00:00 2458897.500000000     22 02 39.46 -11 59 25.8 -26.768 -10.589 0.98813852230709   0.3666089
 2020-Feb-19 00:00 2458898.500000000     22 06 31.43 -11 38 20.2 -26.768 -10.589 0.98835168185415   0.3714610
 2020-Feb-20 00:00 2458899.500000000     22 10 22.73 -11 17 03.5 -26.767 -10.589 0.98856750717573   0.3758534
 2020-Feb-21 00:00 2458900.500000000     22 14 13.37 -10 55 36.1 -26.767 -10.589 0.98878575577934   0.3798661
 2020-Feb-22 00:00 2458901.500000000     22 18 03.36 -10 33 58.4 -26.766 -10.589 0.98900623165044   0.3835796
 2020-Feb-23 00:00 2458902.500000000     22 21 52.71 -10 12 10.9 -26.766 -10.589 0.98922878498246   0.3870731
 2020-Feb-24 00:00 2458903.500000000     22 25 41.43 -09 50 14.0 -26.765 -10.589 0.98945331081283   0.3904225
 2020-Feb-25 00:00 2458904.500000000     22 29 29.54 -09 28 08.1 -26.765 -10.589 0.98967974665387   0.3936987
 2020-Feb-26 00:00 2458905.500000000     22 33 17.05 -09 05 53.7 -26.764 -10.589 0.98990806931811   0.3969667
 2020-Feb-27 00:00 2458906.500000000     22 37 03.98 -08 43 31.0 -26.764 -10.589 0.99013829132129   0.4002852
 2020-Feb-28 00:00 2458907.500000000     22 40 50.33 -08 21 00.7 -26.763 -10.589 0.99037045738117   0.4037072
 2020-Feb-29 00:00 2458908.500000000     22 44 36.12 -07 58 23.0 -26.763 -10.589 0.99060464153661   0.4072816
 2020-Mar-01 00:00 2458909.500000000     22 48 21.38 -07 35 38.5 -26.762 -10.589 0.99084094526011   0.4110548
 2020-Mar-02 00:00 2458910.500000000     22 52 06.11 -07 12 47.4 -26.762 -10.589 0.99107949663164   0.4150726
 2020-Mar-03 00:00 2458911.500000000     22 55 50.33 -06 49 50.3 -26.761 -10.589 0.99132045018849   0.4193809
 2020-Mar-04 00:00 2458912.500000000     22 59 34.06 -06 26 47.5 -26.761 -10.589 0.99156398646587   0.4240233
 2020-Mar-05 00:00 2458913.500000000     23 03 17.32 -06 03 39.5 -26.760 -10.589 0.99181030952069   0.4290362
 2020-Mar-06 00:00 2458914.500000000     23 07 00.14 -05 40 26.5 -26.759 -10.589 0.99205964003350   0.4344389
 2020-Mar-07 00:00 2458915.500000000     23 10 42.52 -05 17 09.1 -26.759 -10.589 0.99231220131547   0.4402185
 2020-Mar-08 00:00 2458916.500000000     23 14 24.49 -04 53 47.6 -26.758 -10.589 0.99256819643299   0.4463153
 2020-Mar-09 00:00 2458917.500000000     23 18 06.09 -04 30 22.3 -26.758 -10.589 0.99282777742571   0.4526116
 2020-Mar-10 00:00 2458918.500000000     23 21 47.32 -04 06 53.6 -26.757 -10.589 0.99309101204313   0.4589351
 2020-Mar-11 00:00 2458919.500000000     23 25 28.22 -03 43 21.9 -26.757 -10.589 0.99335785744691   0.4650801
 2020-Mar-12 00:00 2458920.500000000     23 29 08.82 -03 19 47.5 -26.756 -10.589 0.99362815048421   0.4708419
 2020-Mar-13 00:00 2458921.500000000     23 32 49.13 -02 56 10.7 -26.755 -10.589 0.99390161873229   0.4760518
 2020-Mar-14 00:00 2458922.500000000     23 36 29.18 -02 32 31.9 -26.755 -10.589 0.99417790830596   0.4805986
 2020-Mar-15 00:00 2458923.500000000     23 40 09.00 -02 08 51.5 -26.754 -10.589 0.99445661880370   0.4844315
 2020-Mar-16 00:00 2458924.500000000     23 43 48.59 -01 45 09.8 -26.754 -10.589 0.99473733575018   0.4875500
 2020-Mar-17 00:00 2458925.500000000     23 47 28.00 -01 21 27.1 -26.753 -10.589 0.99501965493088   0.4899874
 2020-Mar-18 00:00 2458926.500000000     23 51 07.22 -00 57 43.9 -26.752 -10.589 0.99530319759110   0.4917965
 2020-Mar-19 00:00 2458927.500000000     23 54 46.29 -00 34 00.5 -26.752 -10.589 0.99558761832175   0.4930387
 2020-Mar-20 00:00 2458928.500000000     23 58 25.23 -00 10 17.2 -26.751 -10.589 0.99587260831822   0.4937787
 2020-Mar-21 00:00 2458929.500000000     00 02 04.04 +00 13 25.5 -26.750 -10.589 0.99615789633385   0.4940816
 2020-Mar-22 00:00 2458930.500000000     00 05 42.75 +00 37 07.2 -26.750 -10.589 0.99644324884499   0.4940130
 2020-Mar-23 00:00 2458931.500000000     00 09 21.37 +01 00 47.7 -26.749 -10.589 0.99672847016940   0.4936383
 2020-Mar-24 00:00 2458932.500000000     00 12 59.93 +01 24 26.5 -26.749 -10.589 0.99701340271989   0.4930240
 2020-Mar-25 00:00 2458933.500000000     00 16 38.43 +01 48 03.2 -26.748 -10.589 0.99729792726860   0.4922366
 2020-Mar-26 00:00 2458934.500000000     00 20 16.90 +02 11 37.5 -26.747 -10.589 0.99758196301748   0.4913424
 2020-Mar-27 00:00 2458935.500000000     00 23 55.36 +02 35 09.0 -26.747 -10.589 0.99786546735513   0.4904072
 2020-Mar-28 00:00 2458936.500000000     00 27 33.82 +02 58 37.3 -26.746 -10.589 0.99814843534584   0.4894958
 2020-Mar-29 00:00 2458937.500000000     00 31 12.30 +03 22 02.1 -26.746 -10.589 0.99843089914867   0.4886718
 2020-Mar-30 00:00 2458938.500000000     00 34 50.81 +03 45 22.9 -26.745 -10.589 0.99871292761062   0.4879988
 2020-Mar-31 00:00 2458939.500000000     00 38 29.38 +04 08 39.4 -26.744 -10.589 0.99899462614981   0.4875399
 2020-Apr-01 00:00 2458940.500000000     00 42 08.01 +04 31 51.3 -26.744 -10.589 0.99927613669191   0.4873581
 2020-Apr-02 00:00 2458941.500000000     00 45 46.74 +04 54 58.1 -26.743 -10.589 0.99955763683028   0.4875134
 2020-Apr-03 00:00 2458942.500000000     00 49 25.58 +05 17 59.6 -26.742 -10.589 0.99983933658913   0.4880566
 2020-Apr-04 00:00 2458943.500000000     00 53 04.54 +05 40 55.3 -26.742 -10.589 1.00012147037787   0.4890192
 2020-Apr-05 00:00 2458944.500000000     00 56 43.65 +06 03 45.0 -26.741 -10.589 1.00040428141592   0.4903975
 2020-Apr-06 00:00 2458945.500000000     01 00 22.93 +06 26 28.2 -26.741 -10.589 1.00068799688685   0.4921371
 2020-Apr-07 00:00 2458946.500000000     01 04 02.40 +06 49 04.8 -26.740 -10.589 1.00097279508512   0.4941225
 2020-Apr-08 00:00 2458947.500000000     01 07 42.08 +07 11 34.2 -26.739 -10.589 1.00125877049653   0.4961812
 2020-Apr-09 00:00 2458948.500000000     01 11 22.00 +07 33 56.4 -26.739 -10.589 1.00154590670184   0.4981068
 2020-Apr-10 00:00 2458949.500000000     01 15 02.18 +07 56 10.8 -26.738 -10.589 1.00183406666355   0.4996943
 2020-Apr-11 00:00 2458950.500000000     01 18 42.64 +08 18 17.3 -26.738 -10.589 1.00212300400051   0.5007750
 2020-Apr-12 00:00 2458951.500000000     01 22 23.40 +08 40 15.6 -26.737 -10.589 1.00241239055825   0.5012362
 2020-Apr-13 00:00 2458952.500000000     01 26 04.48 +09 02 05.2 -26.736 -10.589 1.00270185039827   0.5010242
 2020-Apr-14 00:00 2458953.500000000     01 29 45.90 +09 23 45.9 -26.736 -10.589 1.00299099080129   0.5001321
 2020-Apr-15 00:00 2458954.500000000     01 33 27.68 +09 45 17.4 -26.735 -10.589 1.00327942508099   0.4985849
 2020-Apr-16 00:00 2458955.500000000     01 37 09.82 +10 06 39.3 -26.734 -10.589 1.00356678645356   0.4964245
 2020-Apr-17 00:00 2458956.500000000     01 40 52.34 +10 27 51.3 -26.734 -10.589 1.00385273487960   0.4937004
 2020-Apr-18 00:00 2458957.500000000     01 44 35.26 +10 48 53.0 -26.733 -10.589 1.00413695958179   0.4904640
 2020-Apr-19 00:00 2458958.500000000     01 48 18.59 +11 09 44.1 -26.733 -10.589 1.00441917960598   0.4867671
 2020-Apr-20 00:00 2458959.500000000     01 52 02.34 +11 30 24.2 -26.732 -10.589 1.00469914406005   0.4826621
 2020-Apr-21 00:00 2458960.500000000     01 55 46.52 +11 50 53.1 -26.731 -10.589 1.00497663293270   0.4782037
 2020-Apr-22 00:00 2458961.500000000     01 59 31.15 +12 11 10.3 -26.731 -10.589 1.00525145880747   0.4734505
 2020-Apr-23 00:00 2458962.500000000     02 03 16.22 +12 31 15.6 -26.730 -10.589 1.00552346937119   0.4684655
 2020-Apr-24 00:00 2458963.500000000     02 07 01.76 +12 51 08.4 -26.730 -10.589 1.00579255036595   0.4633175
 2020-Apr-25 00:00 2458964.500000000     02 10 47.76 +13 10 48.6 -26.729 -10.589 1.00605862854358   0.4580796
 2020-Apr-26 00:00 2458965.500000000     02 14 34.24 +13 30 15.8 -26.728 -10.589 1.00632167423185   0.4528294
 2020-Apr-27 00:00 2458966.500000000     02 18 21.21 +13 49 29.6 -26.728 -10.589 1.00658170326187   0.4476467
 2020-Apr-28 00:00 2458967.500000000     02 22 08.66 +14 08 29.6 -26.727 -10.589 1.00683877814700   0.4426130
 2020-Apr-29 00:00 2458968.500000000     02 25 56.61 +14 27 15.6 -26.727 -10.589 1.00709300843184   0.4378095
 2020-Apr-30 00:00 2458969.500000000     02 29 45.07 +14 45 47.2 -26.726 -10.589 1.00734454994154   0.4333147
 2020-May-01 00:00 2458970.500000000     02 33 34.04 +15 04 04.1 -26.726 -10.589 1.00759360220754   0.4292006
 2020-May-02 00:00 2458971.500000000     02 37 23.52 +15 22 05.9 -26.725 -10.589 1.00784040268861   0.4255250
 2020-May-03 00:00 2458972.500000000     02 41 13.52 +15 39 52.3 -26.725 -10.589 1.00808521580079   0.4223212
 2020-May-04 00:00 2458973.500000000     02 45 04.06 +15 57 23.1 -26.724 -10.589 1.00832831473187   0.4195841
 2020-May-05 00:00 2458974.500000000     02 48 55.13 +16 14 37.9 -26.724 -10.589 1.00856995524024   0.4172566
 2020-May-06 00:00 2458975.500000000     02 52 46.75 +16 31 36.4 -26.723 -10.589 1.00881034353700   0.4152240
 2020-May-07 00:00 2458976.500000000     02 56 38.93 +16 48 18.4 -26.723 -10.589 1.00904960422598   0.4133210
 2020-May-08 00:00 2458977.500000000     03 00 31.67 +17 04 43.5 -26.722 -10.589 1.00928775689294   0.4113540
 2020-May-09 00:00 2458978.500000000     03 04 24.98 +17 20 51.6 -26.722 -10.589 1.00952470871869   0.4091328
 2020-May-10 00:00 2458979.500000000     03 08 18.87 +17 36 42.3 -26.721 -10.589 1.00976026510000   0.4064991
 2020-May-11 00:00 2458980.500000000     03 12 13.35 +17 52 15.4 -26.721 -10.589 1.00999415371728   0.4033436
 2020-May-12 00:00 2458981.500000000     03 16 08.41 +18 07 30.5 -26.720 -10.589 1.01022605378489   0.3996069
 2020-May-13 00:00 2458982.500000000     03 20 04.06 +18 22 27.5 -26.720 -10.589 1.01045562285735   0.3952713
 2020-May-14 00:00 2458983.500000000     03 24 00.30 +18 37 06.0 -26.719 -10.589 1.01068251691493   0.3903469
 2020-May-15 00:00 2458984.500000000     03 27 57.13 +18 51 25.7 -26.719 -10.589 1.01090640296153   0.3848600
 2020-May-16 00:00 2458985.500000000     03 31 54.54 +19 05 26.4 -26.718 -10.589 1.01112696556766   0.3788440
 2020-May-17 00:00 2458986.500000000     03 35 52.53 +19 19 07.8 -26.718 -10.589 1.01134390957042   0.3723352
 2020-May-18 00:00 2458987.500000000     03 39 51.09 +19 32 29.6 -26.717 -10.589 1.01155696102674   0.3653708
 2020-May-19 00:00 2458988.500000000     03 43 50.22 +19 45 31.5 -26.717 -10.589 1.01176586803363   0.3579902
 2020-May-20 00:00 2458989.500000000     03 47 49.91 +19 58 13.3 -26.716 -10.589 1.01197040247859   0.3502368
 2020-May-21 00:00 2458990.500000000     03 51 50.16 +20 10 34.7 -26.716 -10.589 1.01217036326985   0.3421611
 2020-May-22 00:00 2458991.500000000     03 55 50.94 +20 22 35.4 -26.715 -10.589 1.01236558112960   0.3338233
 2020-May-23 00:00 2458992.500000000     03 59 52.24 +20 34 15.2 -26.715 -10.589 1.01255592461185   0.3252944
 2020-May-24 00:00 2458993.500000000     04 03 54.07 +20 45 33.8 -26.715 -10.589 1.01274130666158   0.3166569
 2020-May-25 00:00 2458994.500000000     04 07 56.39 +20 56 30.9 -26.714 -10.589 1.01292169081915   0.3080032
