Motion Sensor Data File Sep 17, 2020 11:01 AM
Time (s)	Distance (cm)	Dist Error (cm)
16.400	25.608	0.239
16.500	29.123	0.239
16.600	31.103	0.239
16.700	30.065	0.239
16.800	26.722	0.239
16.900	23.370	0.239
17.000	21.876	0.239
17.100	23.224	0.239
17.200	26.640	0.239
17.300	29.975	0.239
17.400	30.957	0.239
17.500	28.964	0.239
17.600	25.351	0.239
17.700	22.614	0.239
17.800	22.178	0.239
17.900	24.553	0.239
18.000	28.038	0.239
18.100	30.676	0.239
18.200	30.554	0.239
18.300	27.744	0.239
18.400	24.087	0.239
18.500	21.837	0.239
18.600	22.553	0.239
18.700	25.551	0.239
18.800	29.148	0.239
18.900	30.956	0.239
19.000	29.823	0.239
19.100	26.755	0.239
19.200	23.387	0.239
19.300	22.069	0.239
19.400	23.525	0.239
19.500	26.855	0.239
19.600	30.004	0.239
19.700	30.763	0.239
19.800	28.684	0.239
19.900	25.109	0.239
20.000	22.412	0.239
20.100	22.354	0.239
20.200	24.824	0.239
20.300	28.205	0.239
20.400	30.645	0.239
20.500	30.368	0.239
20.600	27.585	0.239
20.700	24.229	0.239
20.800	22.201	0.239
20.900	22.793	0.239
21.000	25.762	0.239
21.100	29.169	0.239
21.200	30.767	0.239
21.300	29.513	0.239
21.400	26.261	0.239
21.500	23.331	0.239
21.600	22.254	0.239
21.700	23.971	0.239
21.800	27.142	0.239
21.900	30.038	0.239
22.000	30.612	0.239
22.100	28.456	0.239
22.200	24.976	0.239
22.300	22.433	0.239
22.400	22.323	0.239
22.500	24.802	0.239
22.600	28.269	0.239
22.700	30.567	0.239
22.800	30.153	0.239
22.900	27.386	0.239
23.000	24.219	0.239
23.100	22.364	0.239
23.200	23.080	0.239
23.300	25.993	0.239
23.400	29.225	0.239
23.500	30.607	0.239
23.600	29.233	0.239
23.700	26.024	0.239
23.800	23.235	0.239
23.900	22.395	0.239
24.000	24.173	0.239
24.100	27.323	0.239
24.200	30.055	0.239
24.300	30.474	0.239
24.400	28.284	0.239
24.500	25.121	0.239
24.600	22.428	0.239
24.700	22.568	0.239
24.800	24.956	0.239
24.900	28.338	0.239
25.000	30.425	0.239
25.100	29.890	0.239
25.200	27.110	0.239
25.300	24.090	0.239
25.400	22.484	0.239
25.500	23.501	0.239
25.600	26.276	0.239
25.700	29.314	0.239
25.800	30.503	0.239
25.900	29.005	0.239
26.000	25.825	0.239
26.100	23.063	0.239
26.200	22.274	0.239
26.300	24.379	0.239
26.400	27.438	0.239
26.500	30.033	0.239
26.600	30.302	0.239
26.700	28.077	0.239
26.800	25.022	0.239
26.900	22.780	0.239
