Motion Sensor Data File Sep 17, 2020 11:01 AM
Time (s)	Distance (cm)	Dist Error (cm)
1.900	26.623	0.239
2.000	30.878	0.239
2.100	32.183	0.239
2.200	29.769	0.239
2.300	25.149	0.239
2.400	21.574	0.239
2.500	20.914	0.239
2.600	23.913	0.239
2.700	28.340	0.239
2.800	31.803	0.239
2.900	31.792	0.239
3.000	28.372	0.239
3.100	23.942	0.239
3.200	20.994	0.239
3.300	21.654	0.239
3.400	25.212	0.239
3.500	29.733	0.239
3.600	32.134	0.239
3.700	30.778	0.239
3.800	26.696	0.239
3.900	22.609	0.239
4.000	20.844	0.239
4.100	22.820	0.239
4.200	27.186	0.239
4.300	30.951	0.239
4.400	32.058	0.239
4.500	29.497	0.239
4.600	25.067	0.239
4.700	21.642	0.239
4.800	21.180	0.239
4.900	24.080	0.239
5.000	28.502	0.239
5.100	31.660	0.239
5.200	31.456	0.239
5.300	28.023	0.239
5.400	23.833	0.239
5.500	21.135	0.239
5.600	21.993	0.239
5.700	25.512	0.239
5.800	29.801	0.239
5.900	31.867	0.239
6.000	30.416	0.239
6.100	26.313	0.239
6.200	22.363	0.239
6.300	21.080	0.239
6.400	23.133	0.239
6.500	27.164	0.239
6.600	30.924	0.239
6.700	31.803	0.239
6.800	29.226	0.239
6.900	24.881	0.239
7.000	21.487	0.239
7.100	21.197	0.239
7.200	24.166	0.239
7.300	28.532	0.239
7.400	31.513	0.239
7.500	31.125	0.239
7.600	27.696	0.239
7.700	23.699	0.239
7.800	21.290	0.239
7.900	22.306	0.239
8.000	26.054	0.239
8.100	29.908	0.239
8.200	31.755	0.239
8.300	30.110	0.239
8.400	26.075	0.239
8.500	22.345	0.239
8.600	20.989	0.239
8.700	23.240	0.239
8.800	27.348	0.239
8.900	30.889	0.239
9.000	31.553	0.239
9.100	28.894	0.239
9.200	24.919	0.239
9.300	21.804	0.239
9.400	21.755	0.239
9.500	24.526	0.239
9.600	28.690	0.239
9.700	31.371	0.239
9.800	30.806	0.239
9.900	27.381	0.239
10.000	23.561	0.239
10.100	21.444	0.239
10.200	22.598	0.239
10.300	26.096	0.239
10.400	29.955	0.239
10.500	31.582	0.239
10.600	29.873	0.239
10.700	26.195	0.239
10.800	22.517	0.239
10.900	21.483	0.239
11.000	23.540	0.239
11.100	27.459	0.239
11.200	30.811	0.239
11.300	31.295	0.239
11.400	28.623	0.239
11.500	24.768	0.239
11.600	21.881	0.239
11.700	22.013	0.239
11.800	25.063	0.239
11.900	28.857	0.239
12.000	31.306	0.239
12.100	30.564	0.239
12.200	27.110	0.239
12.300	23.333	0.239
12.400	21.559	0.239
12.500	22.667	0.239
12.600	26.315	0.239
12.700	30.006	0.239
12.800	31.427	0.239
12.900	29.589	0.239
13.000	26.006	0.239
13.100	22.577	0.239
13.200	21.723	0.239
13.300	23.746	0.239
13.400	27.627	0.239
13.500	30.720	0.239
13.600	30.963	0.239
13.700	28.257	0.239
13.800	24.355	0.239
13.900	21.954	0.239
14.000	22.295	0.239
14.100	25.355	0.239
14.200	28.982	0.239
14.300	31.211	0.239
14.400	30.319	0.239
14.500	26.912	0.239
14.600	23.405	0.239
14.700	21.434	0.239
14.800	22.838	0.239
14.900	26.417	0.239
15.000	29.988	0.239
15.100	31.199	0.239
15.200	29.305	0.239
15.300	25.807	0.239
15.400	22.597	0.239
15.500	21.946	0.239
15.600	24.261	0.239
15.700	27.828	0.239
15.800	30.702	0.239
15.900	30.752	0.239
16.000	27.968	0.239
16.100	24.178	0.239
16.200	21.953	0.239
16.300	22.510	0.239
