Motion Through Fluids Experiment Thu, Oct 29, 2020 10:12 AM
Time(sec)	Position(mm)
0.042	0.000
0.092	0.000
0.142	0.000
0.192	0.000
0.242	0.000
0.293	0.000
0.342	0.000
0.392	0.000
0.442	0.675
0.492	2.862
0.542	6.142
0.592	9.969
0.642	14.343
0.692	17.624
0.743	21.451
0.792	25.278
0.842	28.559
0.892	31.839
0.942	35.120
0.992	38.400
1.042	40.587
1.093	43.868
1.142	46.055
1.192	48.788
1.242	50.975
1.292	53.709
1.342	55.896
1.392	58.630
1.442	60.817
1.492	63.004
1.543	65.191
1.592	67.378
1.642	69.564
1.692	71.751
1.742	73.938
1.792	76.125
1.842	78.312
1.892	81.046
1.942	83.233
1.992	85.420
2.043	87.607
2.092	89.794
2.142	91.981
2.192	93.621
2.242	96.355
2.292	98.542
2.342	100.182
2.392	102.369
2.442	104.556
2.492	106.743
2.542	108.930
2.592	111.117
2.642	113.304
2.695	115.491
2.742	117.131
2.792	119.318
2.842	121.505
2.893	123.692
2.942	125.879
2.992	128.066
3.042	130.253
3.092	132.440
3.142	134.627
3.192	136.814
3.242	139.001
3.292	141.188
3.342	143.375
3.392	145.562
3.442	147.749
3.492	149.389
3.542	151.576
3.592	153.763
3.642	155.950
3.692	158.137
3.742	160.324
3.792	162.511
3.842	164.698
3.892	166.885
3.942	168.525
3.992	170.712
4.042	172.899
4.092	175.086
4.142	177.273
4.192	179.460
4.243	181.647
4.292	183.834
4.342	186.021
4.392	188.208
4.442	190.395
4.492	192.582
4.542	194.222
4.593	196.409
4.642	198.596
4.692	200.783
4.742	202.970
4.792	205.157
4.842	207.344
4.892	209.531
4.942	211.171
4.992	213.358
5.042	215.545
5.092	217.732
5.142	219.919
5.192	222.106
5.242	224.293
5.292	226.480
5.342	228.667
5.392	230.854
5.442	232.494
5.492	234.681
5.542	236.868
5.592	238.508
5.642	240.695
5.692	242.882
5.742	245.069
5.792	247.256
5.842	249.443
5.892	251.630
5.942	253.270
5.992	254.364
6.042	254.911
6.092	0.000
6.142	0.000
6.192	0.000
