Motion Through Fluids Experiment Thu, Oct 29, 2020 10:17 AM
Time(sec)	Position(mm)
0.006	0.000
0.106	0.000
0.156	0.000
0.206	0.000
0.256	0.000
0.307	0.000
0.356	0.000
0.406	0.000
0.456	0.000
0.506	0.000
0.556	0.000
0.606	0.000
0.656	0.000
0.707	0.000
0.756	0.000
0.806	0.000
0.856	0.675
0.906	1.768
0.956	3.409
1.006	4.502
1.056	5.595
1.106	7.236
1.156	8.329
1.206	9.969
1.256	11.063
1.306	12.156
1.356	13.797
1.406	14.890
1.456	15.984
1.506	17.077
1.556	18.171
1.606	19.264
1.656	20.904
1.706	21.998
1.756	22.545
1.806	23.638
1.856	24.732
1.906	25.825
1.956	26.372
2.006	27.465
2.056	28.559
2.106	29.105
2.156	30.199
2.206	30.746
2.256	31.839
2.306	32.933
2.356	33.479
2.406	34.026
2.456	35.120
2.506	35.666
2.556	36.760
2.606	37.307
2.656	37.853
2.706	38.400
2.756	39.494
2.806	40.040
2.856	40.587
2.906	41.134
2.957	42.227
3.006	42.774
3.056	43.321
3.106	43.868
3.156	44.961
3.206	45.508
3.256	46.055
3.306	46.601
3.356	47.695
3.406	48.241
3.456	48.788
3.506	49.335
3.556	49.882
3.606	50.975
3.656	51.522
3.706	52.069
3.756	52.615
3.806	53.162
3.856	53.709
3.906	54.256
3.956	55.349
4.006	55.896
4.056	56.443
4.106	56.989
4.156	57.536
4.206	58.083
4.256	59.176
4.306	59.723
4.356	60.270
4.406	60.817
4.456	61.363
4.506	61.910
4.556	62.457
4.606	63.550
4.656	64.097
4.706	64.644
4.756	65.191
4.807	65.737
4.857	66.284
4.906	66.831
4.956	67.924
5.007	68.471
5.056	69.018
5.106	69.564
5.156	70.111
5.206	70.658
5.256	71.751
5.306	72.298
5.356	72.845
5.406	73.392
5.456	73.938
5.506	74.485
5.556	75.032
5.608	76.125
5.656	76.125
5.706	77.219
5.756	77.766
5.806	78.312
5.856	78.859
5.906	79.406
5.956	79.953
6.006	80.499
6.056	81.593
6.106	82.140
6.156	82.686
6.206	83.233
6.256	83.780
6.306	84.327
6.356	85.420
6.407	85.967
6.456	86.514
6.506	87.060
6.556	87.607
6.756	90.341
6.806	90.887
6.856	91.434
6.906	91.981
6.956	92.528
7.006	93.074
7.056	93.621
7.106	94.715
7.156	95.261
7.206	95.808
7.256	96.355
7.306	96.902
7.356	97.448
7.406	98.542
7.456	98.542
7.506	99.635
7.556	100.182
7.606	100.729
7.657	101.276
7.706	101.822
7.756	102.369
7.806	102.916
7.856	104.009
7.906	104.009
7.956	105.103
8.006	105.650
8.056	106.196
8.106	106.743
8.156	107.290
8.206	107.837
8.256	108.383
8.306	109.477
8.356	110.024
8.407	110.570
8.456	111.117
8.506	111.664
8.556	112.210
8.606	112.757
8.656	113.304
8.706	113.851
8.756	114.397
8.806	115.491
8.856	116.038
8.906	116.584
8.956	117.131
9.006	117.678
9.056	118.225
9.106	118.771
