Motion Through Fluids Experiment Thu, Oct 29, 2020 10:22 AM
Time(sec)	Position(mm)
0.007	0.000
0.107	0.000
0.157	0.000
0.208	0.000
0.258	0.000
0.307	0.000
0.357	0.000
0.407	0.000
0.457	0.000
0.507	0.000
0.557	0.000
0.607	0.000
0.657	0.000
0.707	0.000
0.757	0.000
0.807	0.000
0.857	0.000
0.907	0.000
0.957	0.000
1.007	0.000
1.057	0.000
1.107	0.000
1.157	0.000
1.207	0.000
1.257	0.000
1.307	0.675
1.357	1.222
1.407	2.315
1.457	2.862
1.507	3.409
1.557	4.502
1.607	5.049
1.657	6.142
1.707	6.689
1.757	7.236
1.807	8.329
1.857	8.876
1.907	9.423
1.957	10.516
2.007	11.063
2.057	11.610
2.107	12.703
2.157	13.250
2.207	13.797
2.257	14.890
2.307	15.437
2.357	15.984
2.407	16.530
2.457	17.624
2.507	18.171
2.557	18.717
2.607	19.264
2.657	20.358
2.707	20.904
2.757	21.451
2.807	21.998
2.857	22.545
2.907	23.091
2.957	23.638
3.007	24.185
3.057	24.732
3.107	25.278
3.157	25.825
3.207	26.372
3.257	26.918
3.307	27.465
3.357	28.012
3.407	28.559
3.457	29.105
3.507	29.652
3.557	30.199
3.607	30.199
3.657	30.746
3.707	31.292
3.757	31.839
3.807	32.386
3.857	32.933
3.907	33.479
3.958	33.479
4.007	34.026
4.057	34.573
4.107	35.120
4.157	35.666
4.207	35.666
4.257	36.213
4.307	36.760
4.357	37.307
4.408	37.307
4.457	37.853
4.507	38.400
4.557	38.947
4.607	38.947
4.657	39.494
4.707	40.040
4.757	40.587
4.807	40.587
4.857	41.134
4.907	41.681
4.957	42.227
5.008	42.227
5.057	42.774
5.107	42.774
5.157	43.321
5.207	43.868
5.257	43.868
5.307	44.414
5.357	44.961
5.407	45.508
5.457	45.508
5.507	46.055
5.557	46.055
5.607	46.601
5.657	47.148
5.707	47.695
5.757	47.695
5.807	48.241
5.857	48.241
5.907	48.788
5.957	49.335
6.007	49.882
6.057	49.882
6.107	50.428
6.157	50.428
6.207	50.975
6.257	51.522
6.307	51.522
6.357	52.069
6.407	52.069
6.458	52.615
6.507	53.162
6.557	53.709
6.607	53.709
6.657	54.256
6.707	54.256
6.757	54.802
6.808	55.349
6.857	55.896
6.907	55.896
6.957	56.443
7.007	56.443
7.057	56.989
7.107	57.536
7.158	57.536
7.207	58.083
7.257	58.630
7.308	58.630
7.357	59.176
7.407	59.723
7.457	59.723
7.507	60.270
7.557	60.817
7.607	60.817
7.657	61.363
7.707	61.910
7.757	61.910
7.807	62.457
7.857	62.457
7.907	63.004
7.957	63.550
8.007	63.550
8.057	64.097
8.107	64.644
8.157	64.644
8.207	65.191
8.257	65.737
8.307	65.737
8.357	66.284
8.407	66.284
8.457	66.831
8.507	67.378
8.557	67.378
8.607	67.924
8.657	68.471
8.708	68.471
8.757	69.018
8.807	69.564
8.857	69.564
8.907	70.111
8.957	70.658
9.007	70.658
9.057	71.205
9.107	71.205
9.157	71.751
9.207	71.751
9.257	72.298
9.307	72.845
9.358	73.392
9.407	73.392
9.457	73.938
9.507	73.938
9.557	74.485
9.607	75.032
9.657	75.032
9.707	75.579
9.757	76.125
9.807	76.125
9.857	76.672
9.907	77.219
9.957	77.219
10.007	77.766
10.057	78.312
10.107	78.312
10.157	78.859
10.207	78.859
10.257	79.406
10.307	79.953
10.357	79.953
10.407	80.499
10.457	80.499
10.507	81.046
10.557	81.593
10.607	81.593
10.657	82.140
10.707	82.686
10.757	82.686
10.807	83.233
10.857	83.780
10.907	83.780
10.957	84.327
11.007	84.327
11.057	84.873
11.107	85.420
11.157	85.420
11.207	85.967
11.257	86.514
11.307	86.514
11.357	87.060
11.407	87.060
11.457	87.607
11.507	88.154
11.557	88.154
11.607	88.701
11.658	89.247
11.707	89.247
11.757	89.794
11.807	90.341
11.857	90.341
11.907	90.887
11.957	90.887
12.007	91.434
12.057	91.981
12.107	91.981
12.157	92.528
12.207	93.074
12.257	93.074
12.307	93.621
12.357	93.621
12.407	94.168
12.457	94.715
12.507	94.715
12.557	95.261
12.607	95.808
12.657	95.808
12.707	96.355
12.757	96.902
12.807	96.902
12.857	97.448
12.907	97.995
12.957	97.995
13.007	98.542
13.057	99.089
13.107	99.089
13.157	99.635
13.207	99.635
13.257	100.182
13.307	100.729
13.357	100.729
13.407	101.276
13.457	101.822
13.507	101.822
13.557	102.369
13.607	102.369
13.657	102.916
13.707	103.463
13.757	103.463
13.807	104.009
13.857	104.556
13.907	104.556
13.957	105.103
14.008	105.650
14.057	105.650
14.107	106.196
14.157	106.743
14.207	106.743
14.257	107.290
14.307	107.290
14.357	107.837
14.407	108.383
14.457	108.383
14.507	108.930
14.557	109.477
14.607	109.477
14.657	110.024
14.707	110.024
14.757	110.570
14.807	111.117
14.857	111.117
14.907	111.664
14.957	112.210
15.007	112.210
15.057	112.757
15.107	112.757
15.157	113.304
15.208	113.851
15.257	113.851
15.307	114.397
15.357	114.397
15.407	114.944
15.457	115.491
15.507	115.491
15.557	116.038
15.607	116.584
15.657	116.584
15.707	117.131
15.757	117.678
15.807	117.678
15.857	118.225
15.907	118.225
15.957	118.771
16.007	118.771
16.057	119.318
16.107	119.865
16.157	120.412
16.207	120.412
16.257	120.958
16.307	120.958
16.357	121.505
16.408	122.052
16.457	122.052
16.507	122.599
16.557	122.599
16.607	123.145
16.657	123.692
16.707	123.692
16.757	124.239
16.807	124.786
16.857	124.786
16.907	125.332
16.957	125.332
17.007	125.879
17.057	126.426
17.107	126.426
17.157	126.973
17.207	127.519
17.257	127.519
17.307	128.066
17.357	128.066
17.407	128.613
17.457	129.160
17.507	129.160
17.557	129.706
17.607	130.253
17.657	130.253
17.707	130.800
17.757	131.347
17.807	131.347
17.857	131.893
17.908	132.440
17.957	132.440
18.007	132.987
18.057	132.987
18.107	133.533
18.157	134.080
18.207	134.080
18.257	134.627
18.307	134.627
18.357	135.174
18.407	135.720
18.457	136.267
18.507	136.267
18.557	136.814
18.608	136.814
18.657	137.361
18.707	137.907
18.757	137.907
18.807	138.454
18.857	139.001
18.907	139.001
18.957	139.548
19.007	139.548
19.057	140.094
19.107	140.641
19.157	140.641
19.207	141.188
19.257	141.735
19.307	141.735
19.357	142.281
19.407	142.281
19.457	142.828
19.507	143.375
19.557	143.375
19.607	143.922
19.658	144.468
19.707	144.468
19.757	145.015
19.807	145.562
19.857	145.562
19.907	146.109
19.958	146.109
20.007	146.655
20.057	147.202
20.107	147.202
20.157	147.749
20.207	148.296
20.257	148.296
20.307	148.842
20.357	149.389
20.407	149.389
20.457	149.936
20.507	149.936
20.557	150.483
20.607	151.029
20.657	151.029
20.707	151.576
20.757	151.576
20.807	152.123
20.857	152.670
20.907	152.670
20.957	153.216
21.007	153.216
21.057	153.763
21.107	154.310
21.157	154.310
21.207	154.856
21.257	155.403
21.307	155.403
21.357	155.950
21.407	155.950
21.457	156.497
21.507	156.497
21.557	157.043
21.607	157.590
21.657	158.137
21.707	158.137
21.757	158.684
21.807	158.684
21.857	159.230
21.907	159.777
21.957	159.777
22.007	160.324
22.057	160.324
22.107	160.871
22.157	161.417
22.207	161.417
22.257	161.964
22.308	161.964
22.357	162.511
22.407	163.058
22.457	163.058
22.508	163.604
22.557	164.151
22.607	164.151
22.657	164.698
22.707	165.245
22.757	165.245
22.807	165.791
22.857	165.791
22.907	166.338
22.957	166.885
23.007	166.885
23.057	167.432
23.107	167.978
23.157	167.978
23.207	168.525
23.257	168.525
23.308	169.072
23.357	169.619
23.407	169.619
23.457	170.165
23.507	170.712
23.557	170.712
23.607	171.259
23.657	171.806
23.707	171.806
23.757	172.352
23.807	172.352
23.857	172.899
23.907	173.446
23.957	173.446
24.007	173.992
24.057	174.539
24.107	174.539
24.157	175.086
24.207	175.086
24.257	175.633
24.307	176.179
24.358	176.179
24.407	176.726
