Motion Through Fluids Experiment Thu, Oct 29, 2020 10:16 AM
Time(sec)	Position(mm)
0.032	0.000
0.082	0.000
0.132	0.000
0.232	0.000
0.282	0.000
0.332	0.000
0.382	0.000
0.432	0.000
0.482	0.000
0.532	0.000
0.582	0.000
0.632	0.000
0.682	0.000
0.733	0.000
0.782	0.000
0.832	0.000
0.882	0.000
0.932	0.000
0.982	0.000
1.032	0.675
1.082	2.315
1.132	3.409
1.182	4.502
1.232	6.142
1.282	7.236
1.332	8.329
1.382	9.423
1.432	10.516
1.482	12.156
1.532	13.250
1.582	14.343
1.632	15.984
1.682	17.077
1.732	18.171
1.782	19.264
1.832	20.358
1.882	21.451
1.932	22.545
1.982	23.638
2.034	24.732
2.082	25.825
2.132	26.372
2.182	27.465
2.232	28.559
2.282	29.105
2.332	30.199
2.382	30.746
2.432	31.839
2.482	32.933
2.532	33.479
2.582	34.573
2.633	35.120
2.682	36.213
2.732	36.760
2.782	37.307
2.832	38.400
2.882	38.947
2.932	39.494
2.982	40.040
3.032	41.134
3.082	41.681
3.132	42.227
3.182	43.321
3.232	43.868
3.282	44.414
3.332	44.961
3.382	45.508
3.432	46.055
3.482	47.148
3.532	47.695
3.582	48.241
3.632	48.788
3.682	49.335
3.732	49.882
3.782	50.428
3.832	50.975
3.882	52.069
3.932	52.615
3.983	53.162
4.032	53.709
4.082	54.256
4.133	54.802
4.182	55.349
4.232	56.443
4.282	56.989
4.333	57.536
4.382	58.083
4.432	58.630
4.482	59.176
4.532	59.723
4.582	60.270
4.632	60.817
4.682	61.363
4.732	61.910
4.782	63.004
4.832	63.550
4.882	64.097
4.932	64.644
4.982	65.191
5.032	65.737
5.082	66.284
5.132	67.378
5.182	67.924
5.232	67.924
5.282	69.018
5.332	69.564
5.382	70.111
5.432	70.658
5.482	71.205
5.532	71.751
5.582	72.298
5.632	73.392
5.682	73.938
5.732	74.485
5.783	75.032
5.832	75.579
5.882	76.125
5.932	76.672
5.982	77.219
6.032	78.312
6.082	78.312
6.132	78.859
6.182	79.953
6.232	80.499
6.283	81.046
6.332	81.593
6.382	82.140
6.432	82.686
6.482	83.233
6.532	83.780
6.582	84.327
6.632	84.873
6.682	85.967
6.732	86.514
6.782	87.060
6.832	87.607
6.882	88.154
6.932	88.701
6.982	89.247
7.032	89.794
7.082	90.341
7.132	90.887
7.182	91.434
7.232	92.528
7.282	92.528
7.332	93.621
7.382	94.168
7.432	94.715
7.482	95.261
7.532	95.808
7.582	96.355
7.632	96.902
7.682	97.448
7.732	97.995
7.782	98.542
7.832	99.635
7.882	100.182
7.933	100.729
7.982	101.276
8.032	101.822
8.082	102.369
8.132	102.916
8.182	103.463
8.232	104.009
8.282	104.556
8.332	105.103
8.382	105.650
8.432	106.196
8.482	107.290
8.532	107.837
8.582	108.383
8.632	108.930
8.682	109.477
8.732	110.024
8.782	110.570
8.832	111.117
8.882	112.210
8.932	112.757
8.982	113.304
9.032	113.851
9.082	114.397
9.132	114.944
9.182	115.491
9.232	116.038
9.282	116.584
9.332	117.131
9.382	117.678
9.432	118.225
9.482	119.318
9.532	119.865
9.582	120.412
9.632	120.958
9.682	121.505
9.733	122.052
9.782	122.599
9.832	123.145
9.882	123.692
9.932	124.239
9.982	124.786
10.032	125.879
10.082	126.426
10.132	126.973
10.182	127.519
10.232	128.066
10.282	128.613
10.332	129.160
10.382	129.706
10.433	130.253
10.482	130.800
10.532	131.347
10.582	131.893
10.632	132.987
10.682	132.987
10.732	133.533
10.782	134.080
10.832	134.627
10.882	135.174
10.932	136.267
10.982	136.814
11.033	137.361
11.082	137.907
11.132	138.454
11.182	139.001
11.232	139.548
11.282	140.094
11.332	140.641
11.382	141.188
11.432	141.735
11.482	142.281
11.532	142.828
11.582	143.922
11.632	144.468
11.682	145.015
11.732	145.562
11.782	146.109
11.832	146.655
11.882	147.202
11.932	147.749
11.982	148.296
12.032	149.389
12.082	149.389
12.132	150.483
12.182	151.029
12.232	151.576
12.282	152.123
12.332	152.670
12.382	153.216
12.432	153.763
12.482	154.310
12.532	154.856
12.582	155.403
12.632	155.950
12.682	157.043
12.732	157.590
12.782	158.137
12.832	158.684
12.882	159.230
12.932	159.777
12.982	160.324
13.032	160.871
13.082	161.417
13.132	161.964
13.182	162.511
13.232	163.058
13.282	163.604
13.332	164.698
13.382	165.245
13.432	165.791
13.482	166.338
13.532	166.885
13.582	167.432
13.632	167.978
13.682	168.525
13.732	169.072
13.782	169.619
13.833	170.165
13.882	170.712
13.932	171.259
13.982	171.806
14.032	172.352
14.082	173.446
14.132	173.992
14.182	174.539
14.232	175.086
14.282	175.633
14.332	176.179
14.382	176.726
14.432	177.273
14.482	177.820
14.533	178.366
14.582	178.913
14.632	179.460
14.682	180.007
14.732	180.553
14.782	181.647
14.832	182.194
14.882	182.740
14.932	183.287
14.983	183.834
15.032	184.381
15.082	184.927
15.132	185.474
15.182	186.021
15.232	186.568
15.282	187.114
15.332	187.661
15.382	188.755
15.432	189.301
15.483	189.848
15.532	190.395
15.582	190.942
15.632	191.488
15.682	192.035
15.732	192.582
15.782	193.129
15.832	193.675
15.882	194.222
15.932	194.769
15.982	195.316
16.032	196.409
16.082	196.956
16.132	197.502
16.182	198.049
16.232	198.596
16.282	199.143
16.332	199.689
16.382	200.236
16.433	200.783
16.482	201.330
16.532	201.876
16.582	202.423
16.632	202.970
16.682	204.063
16.732	204.610
16.782	205.157
16.832	205.704
16.882	206.250
16.933	206.797
16.982	207.344
17.032	207.891
17.082	208.437
17.132	208.984
17.183	209.531
17.232	210.078
17.282	210.624
17.332	211.171
17.382	211.718
17.432	212.265
17.482	213.358
17.532	213.905
17.582	213.905
17.632	214.998
17.683	215.545
17.732	216.092
17.782	216.638
17.832	217.185
17.883	217.732
17.932	218.279
17.982	219.372
18.032	219.372
18.082	219.919
18.132	220.466
18.182	221.559
18.232	222.106
18.282	222.106
18.332	223.199
18.382	223.746
18.432	224.293
18.482	224.840
18.532	225.386
18.582	225.933
18.632	226.480
18.682	227.027
18.732	227.573
18.782	228.120
18.832	228.667
18.882	229.214
18.932	229.760
18.982	230.307
19.032	231.401
19.082	231.947
19.132	232.494
19.182	233.041
19.232	233.588
19.282	234.134
19.332	234.681
19.382	235.228
19.432	235.775
19.482	236.321
19.532	236.868
19.582	237.415
19.632	238.508
19.682	239.055
19.732	239.602
19.782	240.148
19.832	240.695
19.882	241.242
19.932	241.789
19.982	242.335
20.032	242.882
20.082	243.429
20.132	243.976
20.182	244.522
20.232	245.069
20.282	245.616
20.332	246.163
20.382	246.709
20.432	247.256
20.482	247.803
20.532	248.896
20.582	249.443
20.632	249.990
20.682	250.537
20.732	251.083
20.782	251.630
20.832	252.177
20.882	252.724
20.932	253.270
20.982	253.817
21.032	254.364
21.082	254.911
21.132	254.911
21.182	0.000
21.232	0.000
21.282	0.000
21.332	0.000
21.382	0.000
21.432	0.000
21.482	0.000
21.532	0.000
21.582	0.000
21.632	0.000
21.682	0.000
21.732	0.000
21.782	0.000
21.832	0.000
21.882	0.000
21.932	0.000
21.982	0.000
22.032	0.000
22.082	0.000
22.132	0.000
22.182	0.000
22.232	0.000
22.282	0.000
22.332	0.000
22.382	0.000
22.432	0.000
22.482	0.000
22.532	0.000
22.582	0.000
