Motion Through Fluids Experiment Thu, Oct 29, 2020 10:19 AM
Time(sec)	Position(mm)
0.003	0.000
0.103	0.000
0.153	0.000
0.203	0.000
0.253	0.000
0.303	0.000
0.353	0.000
0.403	0.000
0.453	0.000
0.503	0.000
0.553	0.000
0.603	0.000
0.653	0.000
0.703	0.000
0.753	0.000
0.804	0.000
0.853	0.000
0.903	0.000
0.953	0.000
1.003	0.000
1.053	0.000
1.103	0.000
1.153	0.000
1.203	0.000
1.253	0.000
1.303	0.000
1.354	0.675
1.403	1.222
1.453	1.768
1.503	2.862
1.553	3.409
1.603	4.502
1.653	5.049
1.703	5.595
1.753	6.689
1.803	7.236
1.853	8.329
1.904	8.876
1.953	9.969
2.003	10.516
2.054	11.063
2.103	12.156
2.153	12.703
2.203	13.797
2.253	14.343
2.303	14.890
2.353	15.437
2.403	16.530
2.453	17.077
2.503	17.624
2.553	18.171
2.603	19.264
2.653	19.811
2.703	20.358
2.753	20.904
2.803	21.451
2.853	22.545
2.903	23.091
2.953	23.638
3.003	24.185
3.053	24.732
3.103	25.278
3.153	25.825
3.203	26.372
3.253	26.918
3.303	27.465
3.353	28.012
3.403	28.559
3.453	29.105
3.503	29.652
3.553	30.199
3.603	30.746
3.653	30.746
3.703	31.292
3.753	31.839
3.803	32.386
3.853	32.933
3.903	33.479
3.953	33.479
4.003	34.026
4.053	34.573
4.103	35.120
4.153	35.666
4.203	35.666
4.253	36.213
4.303	36.760
4.353	37.307
4.403	37.853
4.454	37.853
4.503	38.400
4.553	38.947
4.603	39.494
4.653	39.494
4.703	40.040
4.753	40.587
4.803	41.134
4.853	41.134
4.903	41.681
4.953	42.227
5.003	42.227
5.053	42.774
5.103	43.321
5.153	43.321
5.203	43.868
5.253	44.414
5.303	44.414
5.353	44.961
5.405	45.508
5.453	46.055
5.503	46.055
5.553	46.601
5.603	47.148
5.653	47.148
5.703	47.695
5.753	47.695
5.803	48.241
5.853	48.788
5.903	48.788
5.953	49.335
6.003	49.882
6.053	49.882
6.103	50.428
6.153	50.975
6.203	50.975
6.253	51.522
6.303	52.069
6.353	52.069
6.403	52.615
6.453	53.162
6.504	53.162
6.553	53.709
6.603	54.256
6.653	54.256
6.703	54.802
6.753	55.349
6.803	55.349
6.853	55.896
6.903	56.443
6.954	56.443
7.003	56.989
7.053	56.989
7.103	57.536
7.153	58.083
7.203	58.083
7.253	58.630
7.303	59.176
7.353	59.176
7.403	59.723
7.453	60.270
7.503	60.270
7.553	60.817
7.603	61.363
7.653	61.363
7.703	61.910
7.753	62.457
7.803	62.457
7.853	63.004
7.903	63.550
7.953	63.550
8.003	64.097
8.053	64.644
8.103	64.644
8.153	65.191
8.203	65.191
8.254	65.737
8.304	66.284
8.353	66.284
8.403	66.831
8.453	67.378
8.503	67.378
8.553	67.924
8.603	68.471
8.653	68.471
8.703	69.018
8.753	69.018
8.803	69.564
8.853	70.111
8.903	70.111
8.953	70.658
9.003	71.205
9.053	71.205
9.103	71.751
9.153	72.298
9.203	72.298
9.253	72.845
9.303	73.392
9.354	73.392
9.403	73.938
9.453	74.485
9.503	74.485
9.553	75.032
9.603	75.579
9.653	75.579
9.703	76.125
9.753	76.125
9.803	76.672
9.853	77.219
9.903	77.219
9.953	77.766
10.003	78.312
10.053	78.312
10.103	78.859
10.153	79.406
10.203	79.406
10.253	79.953
10.303	79.953
10.353	80.499
10.403	81.046
10.453	81.046
10.503	81.593
10.553	81.593
10.603	82.140
10.653	82.686
10.703	82.686
10.753	83.233
10.803	83.780
10.853	83.780
10.903	84.327
10.953	84.327
11.003	84.873
11.053	85.420
11.103	85.420
11.153	85.967
11.203	86.514
11.253	86.514
11.303	87.060
11.353	87.060
11.403	87.607
11.453	88.154
11.503	88.701
11.553	88.701
11.603	89.247
11.653	89.247
11.703	89.794
11.753	90.341
11.803	90.341
11.853	90.887
11.903	91.434
11.953	91.434
12.003	91.981
12.053	91.981
12.103	92.528
12.153	93.074
12.203	93.074
12.253	93.621
12.303	94.168
12.353	94.168
12.403	94.715
12.453	95.261
12.504	95.261
12.553	95.808
12.603	95.808
12.653	96.355
12.703	96.902
12.753	96.902
12.803	97.448
12.853	97.995
12.904	97.995
12.953	98.542
13.003	99.089
13.053	99.089
13.103	99.635
13.153	100.182
13.203	100.182
13.253	100.729
13.303	100.729
13.353	101.276
13.403	101.822
13.453	101.822
13.503	102.369
13.553	102.916
13.603	102.916
13.653	103.463
13.703	104.009
13.753	104.009
13.803	104.556
13.853	104.556
13.903	105.103
13.953	105.650
14.003	105.650
14.053	106.196
14.103	106.196
14.153	106.743
14.203	107.290
14.253	107.290
14.303	107.837
14.353	108.383
14.403	108.383
14.453	108.930
14.503	108.930
14.553	109.477
14.603	110.024
14.653	110.024
14.703	110.570
14.753	111.117
14.803	111.117
14.853	111.664
14.903	111.664
14.953	112.210
15.003	112.757
15.053	112.757
15.103	113.304
15.154	113.851
15.203	113.851
15.253	114.397
15.303	114.397
15.353	114.944
15.403	115.491
15.453	115.491
15.503	116.038
15.553	116.584
15.603	116.584
15.653	117.131
15.703	117.131
15.753	117.678
15.803	118.225
15.853	118.225
15.903	118.771
15.953	119.318
16.003	119.318
16.053	119.865
16.103	119.865
16.154	120.412
16.203	120.958
16.253	120.958
16.303	121.505
16.353	122.052
16.403	122.052
16.454	122.599
16.503	122.599
16.553	123.145
16.603	123.145
16.653	123.692
16.703	124.239
16.753	124.786
16.803	124.786
16.853	125.332
16.903	125.879
16.953	125.879
17.003	126.426
17.053	126.426
17.103	126.973
17.153	127.519
17.203	127.519
17.253	128.066
17.303	128.066
17.353	128.613
17.403	129.160
17.453	129.706
17.504	129.706
17.553	130.253
17.603	130.253
17.653	130.800
17.703	131.347
17.753	131.347
17.803	131.893
17.853	132.440
17.903	132.440
17.953	132.987
18.003	132.987
18.053	133.533
18.103	134.080
18.153	134.080
18.203	134.627
18.253	135.174
18.303	135.174
18.353	135.720
18.403	135.720
18.453	136.267
18.503	136.814
18.553	136.814
18.603	137.361
18.653	137.907
18.703	137.907
18.753	138.454
18.803	139.001
18.853	139.001
18.903	139.548
18.953	139.548
19.003	140.094
19.053	140.094
19.103	140.641
19.153	141.188
19.203	141.188
19.253	141.735
19.303	142.281
19.353	142.281
19.403	142.828
19.453	142.828
19.503	143.375
19.553	143.375
19.603	143.922
19.653	144.468
19.703	144.468
19.753	145.015
19.803	145.562
19.853	145.562
19.903	146.109
19.953	146.655
20.003	146.655
20.053	147.202
20.103	147.202
20.153	147.749
20.203	148.296
20.253	148.296
20.304	148.842
20.353	149.389
20.403	149.389
20.453	149.936
20.503	149.936
20.553	150.483
20.603	151.029
20.654	151.029
20.704	151.576
20.753	152.123
20.803	152.123
20.854	152.670
20.903	152.670
20.953	153.216
21.004	153.763
21.053	153.763
21.103	154.310
21.153	154.310
21.203	154.856
21.253	155.403
21.303	155.403
21.353	155.950
21.403	155.950
21.453	156.497
21.503	157.043
21.553	157.043
21.603	157.590
21.653	158.137
21.703	158.137
21.754	158.684
21.803	159.230
21.853	159.230
21.903	159.777
21.953	159.777
22.003	160.324
22.053	160.871
22.103	160.871
22.153	161.417
22.203	161.964
22.253	161.964
22.303	162.511
22.353	162.511
22.403	163.058
22.453	163.604
22.503	163.604
22.553	164.151
22.603	164.698
22.653	164.698
22.703	165.245
22.753	165.245
22.803	165.791
22.853	166.338
22.903	166.338
22.953	166.885
23.004	167.432
23.053	167.432
23.103	167.978
23.153	167.978
23.203	168.525
23.253	169.072
23.303	169.072
23.353	169.619
23.403	170.165
23.453	170.165
23.503	170.712
23.553	171.259
23.603	171.259
23.653	171.806
23.703	171.806
23.754	172.352
23.803	172.899
23.853	172.899
23.903	173.446
23.953	173.446
24.003	173.992
24.053	174.539
24.103	174.539
24.153	175.086
24.203	175.633
24.253	175.633
24.303	176.179
24.353	176.726
24.403	176.726
24.453	177.273
24.503	177.273
24.553	177.820
24.603	178.366
24.653	178.366
24.703	178.913
24.753	179.460
24.803	179.460
24.853	180.007
24.903	180.007
24.953	180.553
25.003	181.100
