Motion Through Fluids Experiment Thu, Oct 29, 2020 10:14 AM
Time(sec)	Position(mm)
0.047	0.000
0.147	0.000
0.247	0.000
0.298	0.000
0.347	0.000
0.397	0.000
0.447	0.000
0.497	0.000
0.547	0.000
0.597	0.000
0.647	0.000
0.697	0.000
0.747	0.000
0.798	0.675
0.847	2.315
0.897	4.502
0.947	7.236
0.997	9.969
1.047	12.156
1.097	14.890
1.147	17.077
1.197	19.264
1.247	21.451
1.297	24.185
1.347	25.825
1.397	28.012
1.447	30.199
1.497	31.839
1.547	33.479
1.597	35.666
1.647	37.307
1.697	38.947
1.747	40.587
1.797	42.227
1.847	43.321
1.897	44.961
1.947	46.601
1.997	47.695
2.047	49.335
2.097	50.428
2.147	52.069
2.197	53.709
2.247	54.802
2.297	56.443
2.347	57.536
2.397	59.176
2.447	60.270
2.497	61.363
2.547	62.457
2.597	64.097
2.647	65.191
2.697	66.831
2.747	67.924
2.797	69.018
2.847	70.658
2.897	71.751
2.948	73.392
2.997	74.485
3.047	75.579
3.097	77.219
3.147	78.312
3.197	79.406
3.247	81.046
3.297	82.140
3.347	83.233
3.397	84.873
3.447	85.967
3.497	87.060
3.547	88.701
3.597	89.794
3.647	91.434
3.697	92.528
3.747	93.621
3.797	95.261
3.847	96.355
3.897	97.448
3.947	99.089
3.998	100.182
4.047	101.276
4.097	102.916
4.147	104.009
4.197	105.103
4.247	106.743
4.297	107.837
4.347	109.477
4.398	110.570
4.447	111.664
4.497	113.304
4.547	114.397
4.597	115.491
4.647	117.131
4.697	118.225
4.747	119.318
4.797	120.958
4.847	122.052
4.897	123.145
4.947	124.786
4.997	125.879
5.047	126.973
5.097	128.613
5.147	129.706
5.197	130.800
5.247	132.440
5.297	133.533
5.347	134.627
5.397	136.267
5.447	137.361
5.497	138.454
5.547	140.094
5.597	140.641
5.647	142.281
5.697	143.375
5.747	145.015
5.797	146.109
5.847	147.202
5.897	148.296
5.947	149.936
5.997	151.029
6.047	152.123
6.097	153.763
6.147	154.856
6.197	155.950
6.247	157.590
6.297	158.684
6.347	159.777
6.397	160.871
6.447	162.511
6.497	163.604
6.548	165.245
6.597	166.338
6.647	167.432
6.697	169.072
6.747	170.165
6.797	171.259
6.847	172.899
6.898	173.992
6.947	175.086
6.997	176.179
7.047	177.820
7.097	178.913
7.148	180.007
7.197	181.647
7.247	182.740
7.297	183.834
7.347	185.474
7.397	186.568
7.447	187.661
7.497	188.755
7.547	190.395
7.597	191.488
7.647	193.129
7.697	194.222
7.747	195.316
7.797	196.409
7.847	198.049
7.897	199.143
7.947	200.236
7.997	201.876
8.047	202.970
8.097	204.063
8.147	205.704
8.197	206.797
8.247	207.891
8.297	209.531
8.347	210.624
8.398	211.718
8.447	212.811
8.497	214.452
8.547	215.545
8.597	216.638
8.647	218.279
8.697	219.372
8.747	220.466
8.797	222.106
8.847	223.199
8.897	224.293
8.947	225.386
8.997	226.480
9.047	228.120
9.097	229.214
9.147	230.307
9.197	231.947
9.247	233.041
9.297	234.134
9.347	235.775
9.397	236.868
9.447	237.962
9.497	239.055
9.547	240.695
9.597	241.789
9.647	242.882
9.697	243.976
9.747	245.616
9.797	246.709
9.847	247.803
9.898	249.443
9.947	250.537
9.997	251.630
10.047	252.724
10.097	253.817
