Motion Through Fluids Experiment Thu, Oct 29, 2020 10:23 AM
Time(sec)	Position(mm)
0.019	0.000
0.119	0.000
0.169	0.000
0.219	0.000
0.269	0.000
0.319	0.000
0.369	0.000
0.419	0.000
0.469	0.000
0.519	0.000
0.569	0.000
0.619	0.000
0.669	0.000
0.719	0.000
0.769	0.000
0.819	0.000
0.869	0.000
0.919	0.000
0.969	0.000
1.019	0.000
1.069	0.000
1.119	0.000
1.169	0.000
1.219	0.000
1.269	0.000
1.319	0.000
1.369	0.000
1.419	0.000
1.469	0.000
1.519	0.000
1.569	0.000
1.619	0.000
1.669	0.000
1.720	0.000
1.769	0.000
1.819	0.000
1.869	0.000
1.919	0.000
1.969	0.000
2.019	0.000
2.069	0.000
2.119	0.000
2.169	0.000
2.219	0.000
2.269	0.000
2.319	0.000
2.369	0.000
2.419	0.000
2.469	0.000
2.519	0.000
2.569	0.000
2.619	0.000
2.669	0.000
2.719	0.000
2.769	0.000
2.819	0.000
2.869	0.000
2.919	0.000
2.970	0.000
3.019	0.000
3.069	0.000
3.119	0.675
3.170	0.675
3.220	1.222
3.269	1.768
3.319	1.768
3.369	2.315
3.419	2.862
3.469	2.862
3.519	3.409
3.569	3.409
3.619	3.955
3.669	4.502
3.719	4.502
3.769	5.049
3.819	5.595
3.869	5.595
3.919	6.142
3.969	6.142
4.019	6.689
4.069	7.236
4.119	7.236
4.169	7.782
4.219	8.329
4.269	8.329
4.319	8.876
4.369	8.876
4.419	9.423
4.469	9.969
4.519	9.969
4.569	10.516
4.619	10.516
4.670	11.063
4.720	11.610
4.769	11.610
4.819	12.156
4.869	12.156
4.919	12.703
4.969	13.250
5.019	13.250
5.069	13.797
5.119	13.797
5.169	14.343
5.219	14.343
5.269	14.890
5.319	15.437
5.369	15.437
5.419	15.984
5.469	15.984
5.519	16.530
5.569	16.530
5.619	17.077
5.669	17.077
5.719	17.624
5.769	17.624
5.819	18.171
5.869	18.171
5.919	18.717
5.969	18.717
6.019	19.264
6.069	19.264
6.119	19.811
6.169	19.811
6.220	20.358
6.269	20.904
6.319	20.904
6.369	20.904
6.419	21.451
6.469	21.451
6.519	21.998
6.569	21.998
6.619	22.545
6.669	22.545
6.719	22.545
6.769	23.091
6.819	23.091
6.869	23.638
6.919	23.638
6.969	24.185
7.019	24.185
7.069	24.185
7.119	24.732
7.169	24.732
7.219	25.278
7.269	25.278
7.319	25.825
7.369	25.825
7.419	25.825
7.469	26.372
7.519	26.372
7.569	26.918
7.619	26.918
7.669	26.918
7.719	27.465
7.769	27.465
7.819	28.012
7.869	28.012
7.919	28.012
7.969	28.559
8.019	28.559
8.069	29.105
8.119	29.105
8.169	29.105
8.219	29.652
8.269	29.652
8.320	29.652
8.369	30.199
8.419	30.199
8.469	30.199
8.519	30.746
8.569	30.746
8.619	31.292
8.669	31.292
8.719	31.292
