Motion Through Fluids Experiment Thu, Oct 29, 2020 10:13 AM
Time(sec)	Position(mm)
0.033	0.000
0.083	0.000
0.133	0.000
0.183	0.000
0.233	0.000
0.283	0.000
0.333	0.000
0.383	0.000
0.433	0.000
0.483	0.000
0.533	1.768
0.583	4.502
0.633	8.876
0.683	12.703
0.733	16.530
0.783	20.358
0.833	23.638
0.883	27.465
0.933	30.746
0.983	33.479
1.033	36.760
1.083	39.494
1.133	42.227
1.183	44.961
1.233	47.695
1.283	49.882
1.333	52.615
1.383	54.802
1.433	56.989
1.484	59.723
1.533	61.910
1.583	64.097
1.633	66.284
1.683	68.471
1.833	75.579
1.883	77.766
1.933	79.953
1.983	82.140
2.033	84.327
2.083	86.514
2.133	88.701
2.183	90.887
2.233	93.074
2.283	95.261
2.333	96.902
2.383	99.635
2.433	101.822
2.483	104.009
2.533	106.196
2.583	108.383
2.633	110.570
2.683	112.757
2.733	114.944
2.783	116.584
2.833	118.771
2.883	120.958
2.933	123.145
2.983	125.332
3.033	127.519
3.083	129.706
3.133	131.893
3.183	134.080
3.233	136.267
3.284	138.454
3.333	140.641
3.383	142.828
3.433	145.015
3.483	147.202
3.533	149.389
3.583	151.576
3.633	153.763
3.683	155.950
3.733	158.137
3.784	160.324
3.833	162.511
3.883	164.698
3.933	166.338
3.983	168.525
4.033	171.259
4.083	172.899
4.133	175.086
4.183	177.273
4.233	179.460
4.283	181.647
4.333	183.834
4.383	186.021
4.433	188.208
4.483	190.395
4.533	192.582
4.583	194.769
4.633	196.956
4.683	198.596
4.733	200.783
4.783	202.970
4.833	205.157
4.883	207.344
4.933	209.531
4.983	211.718
5.033	213.905
5.083	216.092
5.133	218.279
5.183	220.466
5.233	222.653
5.283	224.293
5.333	226.480
5.383	228.667
5.433	230.854
5.483	233.041
5.533	234.681
5.583	236.868
5.633	239.055
5.683	241.242
5.733	243.429
5.783	245.616
5.833	247.803
5.883	249.990
5.933	252.177
5.983	253.817
6.033	254.911
6.083	0.000
6.133	0.000
6.183	0.000
6.233	0.000
6.283	0.000
6.333	0.000
