Motion Through Fluids Experiment Thu, Oct 29, 2020 10:25 AM
Time(sec)	Position(mm)
0.015	0.000
0.115	0.000
0.215	0.000
0.265	0.000
0.315	0.000
0.365	0.000
0.415	0.000
0.465	0.000
0.516	0.000
0.565	0.000
0.615	0.000
0.665	0.000
0.715	0.000
0.765	0.000
0.815	0.000
0.865	0.000
0.915	0.000
0.965	0.000
1.015	0.000
1.065	0.000
1.115	0.000
1.165	0.000
1.215	0.000
1.265	0.000
1.315	0.000
1.365	0.000
1.415	0.000
1.465	0.000
1.515	0.000
1.565	0.000
1.615	0.000
1.665	0.000
1.716	0.000
1.765	0.000
1.815	0.000
1.865	0.000
1.915	0.000
1.965	0.000
2.015	0.000
2.065	0.000
2.115	0.000
2.165	0.000
2.215	0.000
2.265	0.000
2.315	0.000
2.365	0.000
2.415	0.000
2.465	0.000
2.515	0.000
2.565	0.000
2.615	0.000
2.665	0.000
2.715	0.000
2.765	0.000
2.815	0.675
2.866	1.222
2.915	1.222
2.965	1.768
3.015	1.768
3.066	2.315
3.115	2.862
3.165	2.862
3.215	3.409
3.265	3.955
3.315	3.955
3.365	4.502
3.415	4.502
3.465	5.049
3.515	5.595
3.565	5.595
3.615	6.142
3.665	6.689
3.716	7.236
3.765	7.236
3.815	7.782
3.865	7.782
3.915	8.329
3.965	8.876
4.015	8.876
4.065	9.423
4.115	9.969
4.165	9.969
4.215	10.516
4.265	10.516
4.315	11.063
4.365	11.063
4.415	11.610
4.466	12.156
4.515	12.156
4.565	0.000
4.615	0.000
4.665	0.000
4.715	13.797
4.765	0.000
4.815	14.343
4.866	14.890
4.915	14.890
4.965	15.437
5.015	0.000
5.065	15.984
5.115	0.000
5.165	16.530
5.215	17.077
5.265	17.077
5.315	17.624
5.366	17.624
5.415	0.000
5.465	18.171
5.515	18.717
5.565	0.000
5.615	19.264
5.665	0.000
5.715	0.000
5.765	0.000
5.815	0.000
5.865	0.000
5.915	0.000
5.965	0.000
6.015	0.000
6.065	0.000
6.115	21.998
6.165	0.000
6.215	22.545
6.265	0.000
6.315	23.091
6.365	23.091
6.415	23.638
6.465	23.638
6.515	24.185
6.565	24.185
6.615	24.732
6.665	24.732
6.715	24.732
6.765	25.278
6.815	25.278
6.865	25.825
6.915	25.825
6.965	26.372
7.015	26.372
7.065	26.372
7.116	26.918
7.165	26.918
7.215	27.465
7.265	27.465
7.315	27.465
7.365	28.012
7.415	28.012
7.466	28.559
7.515	28.559
7.565	28.559
7.615	29.105
7.665	29.105
7.715	29.652
7.765	29.652
7.815	29.652
7.865	30.199
7.915	30.199
7.965	30.199
8.015	30.746
8.065	30.746
8.116	31.292
8.165	31.292
8.215	31.292
8.265	31.839
8.315	31.839
8.365	31.839
8.415	32.386
8.465	32.386
8.515	32.933
8.565	32.933
8.615	32.933
8.666	33.479
8.715	33.479
8.765	34.026
8.815	34.026
8.865	34.026
8.916	34.573
8.965	34.573
9.015	34.573
9.065	35.120
9.115	35.120
9.166	35.120
9.216	35.666
9.265	35.666
9.315	35.666
9.365	36.213
9.415	36.213
9.465	36.760
9.515	36.760
9.565	36.760
9.616	36.760
9.665	36.760
9.715	37.307
9.765	37.307
9.815	37.307
9.865	37.853
9.915	37.853
9.965	37.853
10.015	38.400
10.065	38.400
10.115	38.947
10.165	38.947
10.215	38.947
10.265	39.494
10.315	39.494
10.365	39.494
10.415	40.040
10.465	40.040
10.515	40.040
10.565	40.587
10.615	40.587
10.665	40.587
10.715	40.587
10.765	41.134
10.815	41.134
10.865	41.134
10.915	41.681
10.965	41.681
11.015	41.681
11.065	42.227
11.115	42.227
11.165	42.227
11.215	42.774
11.265	42.774
11.315	42.774
11.365	42.774
11.415	43.321
11.465	43.321
11.515	43.321
11.565	43.868
11.615	43.868
11.665	43.868
11.716	44.414
11.765	44.414
11.815	44.414
11.915	44.961
11.965	44.961
12.015	44.961
12.065	45.508
12.115	45.508
12.165	45.508
12.215	45.508
12.265	46.055
12.315	46.055
12.365	46.055
12.415	46.601
12.465	46.601
12.515	47.148
12.565	47.148
12.665	47.148
12.765	47.695
12.815	47.695
12.865	47.695
12.915	48.241
12.965	48.241
13.015	48.241
13.065	48.788
13.115	48.788
13.165	48.788
13.215	48.788
13.265	49.335
13.315	49.335
13.365	49.335
13.415	49.882
13.465	49.882
13.515	49.882
13.565	50.428
13.615	50.428
13.665	50.428
13.715	50.428
13.765	50.975
13.815	50.975
13.865	50.975
13.915	51.522
13.965	51.522
14.015	51.522
14.065	52.069
14.115	52.069
14.165	52.069
14.215	52.069
14.265	52.615
14.316	52.615
14.365	52.615
14.415	53.162
14.465	53.162
14.516	53.162
14.566	53.162
14.615	53.709
14.665	53.709
14.715	53.709
14.765	54.256
14.815	54.256
14.865	54.256
14.915	54.256
14.965	54.802
15.015	54.802
15.065	54.802
15.115	54.802
15.165	55.349
15.215	55.349
15.265	0.000
15.315	0.000
15.366	56.443
15.415	56.443
15.465	56.443
15.515	56.443
15.565	56.443
15.615	56.989
15.665	56.989
15.715	56.989
15.765	57.536
15.815	57.536
15.866	57.536
15.915	57.536
15.965	58.083
16.015	58.083
16.066	58.083
16.116	58.630
16.165	58.630
16.215	58.630
16.265	58.630
16.315	59.176
16.415	59.176
16.465	59.723
16.515	59.723
16.565	59.723
16.615	60.270
16.665	60.270
16.715	60.270
16.765	60.270
16.815	60.817
16.865	60.817
16.915	60.817
16.965	61.363
17.015	61.363
17.065	61.363
17.115	61.363
17.165	61.910
17.215	61.910
17.265	61.910
17.315	62.457
17.365	62.457
17.415	62.457
17.465	62.457
17.515	63.004
17.565	63.004
17.615	63.004
17.665	63.550
17.715	63.550
17.765	63.550
17.815	63.550
17.865	64.097
17.915	64.097
17.965	64.097
18.015	64.644
18.065	64.644
18.115	64.644
18.165	65.191
18.215	65.191
18.265	65.191
18.315	65.191
18.365	65.737
18.415	65.737
18.465	65.737
18.515	66.284
18.565	66.284
18.615	66.284
18.666	66.831
18.715	66.831
18.765	66.831
18.815	66.831
18.865	67.378
18.915	67.378
18.965	67.378
19.015	67.924
19.065	67.924
19.115	67.924
19.165	67.924
19.215	68.471
19.265	68.471
19.315	68.471
19.365	69.018
19.415	69.018
19.465	69.018
19.515	69.018
19.565	69.564
19.615	69.564
19.665	69.564
19.715	70.111
19.765	70.111
19.815	70.111
19.865	70.658
19.915	70.658
19.966	70.658
