Motion Through Fluids Experiment Thu, Oct 29, 2020 10:15 AM
Time(sec)	Position(mm)
0.019	0.000
0.069	0.000
0.119	0.000
0.169	0.000
0.219	0.000
0.269	0.000
0.319	0.000
0.369	0.000
0.419	0.000
0.469	0.000
0.519	0.000
0.569	0.675
0.619	2.315
0.669	5.049
0.719	7.782
0.769	10.516
0.819	12.703
0.869	15.437
0.919	18.171
0.969	20.358
1.019	22.545
1.069	24.732
1.119	26.918
1.170	28.559
1.219	30.746
1.269	32.386
1.319	34.573
1.369	36.213
1.420	37.853
1.469	39.494
1.519	41.134
1.569	42.774
1.619	44.414
1.669	46.055
1.719	47.148
1.769	48.788
1.819	50.428
1.869	51.522
1.919	53.162
1.969	54.256
2.019	55.896
2.069	57.536
2.119	58.630
2.169	60.270
2.219	61.363
2.269	62.457
2.319	63.550
2.369	65.191
2.419	66.284
2.469	67.924
2.519	69.018
2.569	70.658
2.619	71.751
2.669	73.392
2.719	74.485
2.769	76.125
2.819	77.219
2.869	78.312
2.920	79.953
2.969	81.046
3.019	82.686
3.069	83.780
3.119	84.873
3.169	86.514
3.219	87.607
3.269	89.247
3.319	90.341
3.369	91.434
3.419	93.074
3.469	94.168
3.519	95.808
3.569	96.902
3.619	98.542
3.670	99.635
3.719	100.729
3.769	102.369
3.819	104.009
3.869	105.103
3.919	106.196
3.969	107.837
4.019	108.930
4.069	110.024
4.119	111.664
4.169	112.757
4.219	113.851
4.269	115.491
4.319	116.584
4.369	117.678
4.419	119.318
4.469	120.412
4.519	122.052
4.569	123.145
4.620	124.239
4.669	125.879
4.719	126.973
4.769	128.613
4.819	129.706
4.869	130.800
4.919	132.440
4.969	133.533
5.019	134.627
5.069	136.267
5.119	137.361
5.169	139.001
5.219	140.094
5.269	141.188
5.319	142.281
5.369	143.922
5.419	145.015
5.469	146.655
5.519	147.749
5.569	148.842
5.619	150.483
5.669	151.576
5.719	153.216
5.769	154.310
5.819	155.403
5.869	157.043
5.919	158.137
5.969	159.230
6.019	160.871
6.069	161.964
6.119	163.604
6.169	164.698
6.219	165.791
6.270	167.432
6.319	168.525
6.369	169.619
6.419	171.259
6.470	172.352
6.519	173.992
6.569	175.086
6.619	176.179
6.669	177.820
6.719	178.913
6.769	180.007
6.819	181.647
6.869	182.740
6.919	183.834
6.969	185.474
7.019	186.568
7.069	187.661
7.119	189.301
7.169	190.395
7.219	191.488
7.269	193.129
7.319	194.222
7.369	195.316
7.419	196.956
7.469	198.049
7.519	199.689
7.569	200.783
7.619	201.876
7.669	203.517
7.719	204.610
7.769	205.704
7.819	207.344
7.869	208.437
7.919	209.531
7.969	211.171
8.019	212.265
8.069	213.358
8.119	214.998
8.169	216.092
8.219	217.732
8.269	218.825
8.319	219.919
8.369	221.559
8.419	222.653
8.469	224.293
8.519	224.840
8.569	226.480
8.619	227.573
8.669	228.667
8.720	230.307
8.769	231.401
8.819	232.494
8.869	234.134
8.919	235.228
8.969	236.321
9.019	237.962
9.069	239.055
9.119	240.148
9.169	241.789
9.219	242.882
9.270	243.976
9.319	245.616
9.369	246.709
9.419	247.803
9.470	249.443
9.519	250.537
9.569	251.630
9.619	253.270
9.669	253.817
9.719	254.364
9.769	0.000
9.819	0.000
9.869	0.000
9.920	0.000
9.969	0.000
