Motion Through Fluids Experiment Thu, Oct 29, 2020 10:14 AM
Time(sec)	Position(mm)
0.003	0.000
0.053	0.000
0.103	0.000
0.153	0.000
0.203	0.000
0.253	0.000
0.303	0.000
0.353	0.000
0.403	0.000
0.453	1.222
0.503	2.862
0.553	5.595
0.603	7.782
0.653	10.516
0.703	12.703
0.753	15.437
0.804	18.171
0.853	20.358
0.903	22.545
0.953	24.732
1.003	26.918
1.053	29.105
1.103	30.746
1.153	32.933
1.203	34.573
1.253	36.213
1.303	37.853
1.353	39.494
1.403	41.134
1.453	42.774
1.503	44.414
1.553	46.055
1.603	47.148
1.653	48.788
1.703	50.428
1.753	51.522
1.803	52.615
1.853	54.256
1.903	55.349
1.954	56.989
2.003	58.083
2.053	59.723
2.104	60.817
2.153	62.457
2.203	63.550
2.253	65.191
2.303	66.284
2.353	67.378
2.403	69.018
2.453	70.111
2.503	71.751
2.553	72.845
2.603	73.938
2.653	75.579
2.703	76.672
2.753	78.312
2.803	79.406
2.854	80.499
2.903	82.140
2.953	83.233
3.003	84.327
3.054	85.967
3.103	87.060
3.153	88.154
3.203	89.794
3.253	90.887
3.303	92.528
3.353	93.621
3.403	94.715
3.453	96.355
3.503	97.448
3.553	99.089
3.603	100.182
3.653	101.276
3.703	102.916
3.753	104.009
3.803	105.650
3.853	106.743
3.903	107.837
3.954	109.477
4.003	110.570
4.053	111.664
4.103	112.757
4.153	114.397
4.203	115.491
4.253	116.584
4.303	118.225
4.353	119.318
4.404	120.412
4.454	122.052
4.503	123.145
4.553	124.786
4.603	125.879
4.653	126.973
4.703	128.066
4.753	129.706
4.803	130.800
4.853	131.893
4.903	133.533
4.953	134.627
5.003	135.720
5.053	136.814
5.103	138.454
5.153	139.548
5.203	140.641
5.253	142.281
5.303	143.375
5.353	144.468
5.403	146.109
5.453	147.202
5.503	148.842
5.553	149.936
5.603	151.029
5.653	152.670
5.703	153.763
5.753	154.856
5.803	156.497
5.854	157.590
5.903	158.684
5.953	160.324
6.003	161.417
6.053	162.511
6.103	164.151
6.153	165.245
6.203	166.338
6.403	171.806
6.453	172.899
6.503	173.992
6.553	175.633
6.603	176.726
6.653	177.820
6.703	179.460
6.753	180.553
6.803	181.647
6.853	183.287
6.903	184.381
6.953	185.474
7.003	186.568
7.054	188.208
7.103	189.301
7.153	190.395
7.203	192.035
7.253	193.129
7.303	194.222
7.353	195.862
7.403	196.956
7.453	198.049
7.503	199.689
7.553	200.783
7.604	201.876
7.653	203.517
7.703	204.610
7.753	205.704
7.803	206.797
7.853	207.891
7.903	209.531
7.953	210.624
8.003	211.718
8.053	213.358
8.103	214.452
8.153	215.545
8.203	217.185
8.253	218.279
8.303	219.372
8.353	221.012
8.403	222.106
8.453	223.199
8.503	224.293
8.553	225.933
8.603	227.027
8.653	228.120
8.703	229.760
8.753	230.854
8.803	231.947
8.853	233.588
8.903	234.681
8.953	235.775
9.003	237.415
9.053	238.508
9.103	239.602
9.153	241.242
9.203	242.335
9.253	243.429
9.303	244.522
9.353	246.163
9.404	247.256
9.453	248.350
9.503	249.990
9.553	251.083
9.604	252.177
9.653	253.817
9.703	254.364
9.753	254.911
9.803	254.911
9.853	0.000
9.903	0.000
9.953	0.000
10.003	0.000
10.053	0.000
10.103	0.000
