Motion Through Fluids Experiment Thu, Oct 29, 2020 10:27 AM
Time(sec)	Position(mm)
0.024	243.976
0.074	243.976
0.124	244.522
0.174	244.522
0.224	0.000
0.274	0.000
0.324	0.000
0.374	0.000
0.425	0.000
0.474	0.000
0.524	0.000
0.574	0.000
0.624	0.000
0.674	0.000
0.724	0.000
0.774	246.709
0.824	246.709
0.874	0.000
0.924	247.256
0.974	247.256
1.024	247.256
1.074	0.000
1.124	0.000
1.174	0.000
1.224	0.000
1.275	0.000
1.324	0.000
1.374	0.000
1.424	0.000
1.474	0.000
1.524	0.000
1.574	0.000
1.624	0.000
1.674	0.000
1.724	0.000
1.774	0.000
1.824	0.000
1.874	0.000
1.924	0.000
1.974	0.000
2.024	0.000
2.074	0.000
2.124	0.000
2.174	0.000
2.224	0.000
2.274	0.000
2.324	0.000
2.374	0.000
2.424	0.000
2.474	0.000
2.524	0.000
2.574	0.000
2.624	0.000
2.674	0.000
2.724	0.000
2.774	0.000
2.824	0.000
2.874	0.000
2.924	0.000
2.974	253.270
3.024	253.817
3.074	0.675
3.124	0.675
3.174	1.222
3.224	1.222
3.274	1.768
3.324	2.315
3.374	2.315
3.424	2.862
3.474	3.409
3.524	3.409
3.574	3.955
3.624	3.955
3.674	4.502
3.724	5.049
3.774	5.049
3.824	5.595
3.874	6.142
3.924	6.142
3.974	6.689
4.024	7.236
4.074	7.236
4.124	7.782
4.174	8.329
4.224	8.329
4.274	8.876
4.324	9.423
4.374	9.423
4.424	9.969
4.474	9.969
4.524	10.516
4.574	11.063
4.624	11.610
4.674	11.610
4.724	12.156
4.774	12.156
4.824	12.703
4.875	13.250
4.924	13.250
4.974	13.797
5.024	13.797
5.074	14.343
5.124	14.343
5.174	14.890
5.224	14.890
5.274	15.437
5.324	15.437
5.374	15.984
5.424	16.530
5.474	16.530
5.524	17.077
5.574	17.077
5.624	17.624
5.674	17.624
5.724	18.171
5.774	18.171
5.824	18.717
5.875	18.717
5.924	19.264
5.974	19.264
6.024	19.811
6.074	19.811
6.124	20.358
6.174	20.358
6.224	20.904
6.274	20.904
6.324	21.451
6.374	21.451
6.424	21.998
6.474	21.998
6.524	22.545
6.574	22.545
6.624	23.091
6.675	23.091
6.724	23.638
6.774	23.638
6.824	24.185
6.874	24.185
6.925	24.185
6.974	24.732
7.024	24.732
7.074	25.278
7.124	25.278
7.174	25.825
7.224	25.825
7.274	25.825
7.324	26.372
7.374	26.372
7.424	26.918
7.474	26.918
7.524	27.465
7.574	27.465
7.624	27.465
7.674	28.012
7.724	28.012
7.774	28.559
7.825	28.559
7.874	28.559
7.924	29.105
7.975	29.105
8.024	29.652
8.074	29.652
8.124	29.652
8.174	30.199
8.224	30.199
8.274	30.199
8.324	30.746
8.374	30.746
8.424	31.292
8.474	31.292
8.524	31.292
8.574	31.839
8.624	31.839
8.674	31.839
8.724	32.386
8.774	32.386
8.825	32.933
8.874	32.933
8.924	32.933
8.974	33.479
9.024	33.479
9.074	34.026
9.124	34.026
9.174	34.026
9.224	34.573
9.274	34.573
9.325	34.573
9.374	35.120
9.424	35.120
9.474	35.120
9.524	35.666
9.574	35.666
9.624	35.666
9.674	36.213
9.724	36.213
9.774	36.213
9.825	36.760
9.874	36.760
9.924	36.760
9.974	37.307
10.024	37.307
10.074	37.307
10.124	37.853
10.174	37.853
10.224	37.853
10.274	38.400
10.324	38.400
10.374	38.400
10.424	38.947
10.474	38.947
10.524	38.947
10.574	39.494
10.624	39.494
10.674	39.494
10.724	39.494
10.774	39.494
10.824	40.040
10.874	40.040
10.924	40.587
10.975	40.587
