Motion Through Fluids Experiment Thu, Oct 29, 2020 10:18 AM
Time(sec)	Position(mm)
0.009	0.000
0.109	0.000
0.209	0.000
0.259	0.000
0.309	0.000
0.359	0.000
0.409	0.000
0.459	0.000
0.509	0.000
0.559	0.000
0.609	0.000
0.659	0.000
0.709	0.000
0.759	0.000
0.809	0.000
0.859	0.000
0.909	0.000
0.959	0.000
1.010	0.000
1.059	0.000
1.109	0.000
1.159	0.675
1.209	1.222
1.259	2.862
1.309	3.955
1.359	5.595
1.409	6.689
1.459	8.329
1.509	9.423
1.559	10.516
1.609	12.156
1.660	13.250
1.709	14.343
1.759	15.437
1.809	17.077
1.859	18.171
1.909	19.264
1.959	20.358
2.009	21.451
2.059	22.545
2.109	23.638
2.159	24.185
2.209	25.278
2.259	26.372
2.309	27.465
2.359	28.012
2.409	29.105
2.459	30.199
2.509	30.746
2.559	31.839
2.609	32.933
2.659	33.479
2.709	34.026
2.759	35.120
2.809	35.666
2.859	36.760
2.910	37.307
2.959	37.853
3.009	38.947
3.059	39.494
3.109	40.040
3.159	41.134
3.209	41.681
3.259	42.227
3.309	42.774
3.359	43.868
3.409	44.414
3.459	44.961
3.509	45.508
3.559	46.055
3.609	47.148
3.659	47.695
3.709	48.241
3.759	48.788
3.809	49.335
3.860	49.882
3.909	50.975
3.959	51.522
4.009	52.069
4.059	52.615
4.109	53.162
4.159	53.709
4.209	54.256
4.259	55.349
4.309	55.896
4.359	56.443
4.409	56.989
4.459	57.536
4.509	58.083
4.559	58.630
4.610	59.176
4.659	60.270
4.709	60.817
4.759	61.363
4.809	61.910
4.859	62.457
4.910	63.004
4.959	64.097
5.009	64.644
5.059	65.191
5.109	65.737
5.159	66.284
5.210	66.831
5.259	67.378
5.309	68.471
5.359	69.018
5.409	69.564
5.459	70.111
5.509	70.658
5.559	71.205
5.609	71.751
5.659	72.298
5.709	72.845
5.759	73.938
5.809	74.485
5.859	75.032
5.909	75.579
5.959	76.125
6.009	76.672
6.059	77.219
6.109	77.766
6.159	78.859
6.209	79.406
6.259	79.953
6.309	80.499
6.359	81.046
6.409	81.593
6.459	82.140
6.509	82.686
6.559	83.233
6.610	84.327
6.659	84.873
6.709	85.420
6.759	85.967
6.809	86.514
6.859	87.060
6.909	87.607
6.959	88.154
7.009	88.701
7.059	89.247
7.109	90.341
7.159	90.887
7.209	91.434
7.259	91.981
7.309	92.528
7.360	93.074
7.409	93.621
7.459	94.168
7.509	94.715
7.559	95.261
7.609	96.355
7.659	96.902
7.709	97.448
7.759	97.995
7.810	98.542
7.859	99.089
7.909	99.635
7.959	100.182
8.009	100.729
8.059	101.822
8.109	102.369
8.159	102.916
8.211	103.463
8.259	104.009
8.309	104.556
8.360	105.103
8.409	106.196
8.459	106.743
8.509	107.290
8.559	107.837
8.609	108.383
8.659	108.930
8.709	109.477
8.759	110.024
8.809	110.570
8.859	111.664
8.909	112.210
8.959	112.757
9.009	113.304
9.059	113.851
9.109	114.397
9.159	114.944
9.209	115.491
9.259	116.038
9.309	116.584
9.359	117.678
9.409	118.225
9.459	118.771
9.509	119.318
9.559	119.865
9.609	120.412
9.659	120.958
9.709	121.505
9.759	122.052
9.809	122.599
9.859	123.692
9.909	123.692
9.960	124.786
10.009	125.332
10.059	125.879
10.109	126.426
10.159	126.973
10.211	127.519
10.259	128.066
10.309	128.613
10.359	129.706
10.409	130.253
10.459	130.800
10.509	131.347
10.559	131.893
10.609	132.440
10.660	132.987
10.709	133.533
10.759	134.080
10.809	135.174
10.859	135.720
10.909	136.267
10.959	136.814
11.009	137.361
11.059	137.907
11.109	138.454
11.159	139.001
11.209	139.548
11.259	140.094
11.309	140.641
11.359	141.735
11.409	142.281
11.460	142.828
11.509	143.375
11.559	143.922
11.609	144.468
11.659	145.015
11.709	145.562
11.759	146.109
11.809	147.202
11.859	147.749
11.909	148.296
11.959	148.842
12.009	149.389
12.059	149.936
12.109	150.483
12.159	151.029
12.211	151.576
12.259	152.670
12.309	153.216
12.359	153.216
12.409	154.310
12.459	154.856
12.509	155.403
12.559	155.950
12.609	156.497
12.659	157.043
12.709	157.590
12.759	158.137
12.809	158.684
12.859	159.230
12.909	159.777
12.959	160.324
13.009	161.417
13.060	161.964
13.109	162.511
13.159	163.058
13.209	163.604
13.259	164.151
13.309	164.698
13.359	165.245
13.409	165.791
13.459	166.885
13.509	167.432
13.559	167.978
13.610	168.525
13.659	169.072
13.709	169.619
13.759	170.165
13.809	170.712
13.859	171.259
13.909	171.806
13.959	172.899
14.010	173.446
14.059	173.992
14.109	174.539
14.159	175.086
14.209	175.633
14.259	176.179
14.309	176.726
14.359	177.273
14.409	177.820
14.459	178.366
14.509	178.913
14.559	180.007
14.609	180.553
14.659	181.100
14.709	181.647
14.759	182.194
14.809	182.740
14.859	183.287
14.909	183.834
14.959	184.381
15.009	184.927
15.059	185.474
15.109	186.568
15.159	187.114
15.209	187.661
15.259	188.208
15.309	188.755
15.359	189.301
15.409	189.848
15.460	190.395
15.509	190.942
15.559	191.488
15.609	192.582
15.660	193.129
15.709	193.675
15.759	194.222
15.809	194.769
15.859	195.316
15.909	195.862
15.959	196.409
16.009	196.956
16.059	197.502
16.109	198.049
16.159	198.596
16.209	199.689
16.259	200.236
16.309	200.783
16.359	201.330
16.409	201.876
16.459	202.423
16.509	202.970
16.559	203.517
16.609	204.063
16.659	204.610
16.709	205.157
16.759	206.250
16.809	206.797
16.859	207.344
16.909	207.891
16.959	208.437
17.009	208.984
17.059	209.531
17.109	210.078
17.159	210.624
17.209	211.171
17.259	211.718
17.309	212.265
17.359	213.358
17.409	213.905
17.459	214.452
17.509	214.998
17.559	215.545
17.609	216.092
17.659	216.638
17.709	217.185
17.759	217.732
17.809	218.279
17.859	219.372
17.909	219.372
17.959	220.466
18.009	221.012
18.059	221.559
18.109	222.106
18.159	222.653
18.209	223.199
18.259	223.746
18.309	224.293
18.359	224.840
18.409	225.386
18.459	225.933
18.509	226.480
18.559	227.027
18.609	228.120
