Motion Through Fluids Experiment Thu, Oct 29, 2020 10:11 AM
Time(sec)	Position(mm)
0.009	3.955
0.109	5.049
0.159	5.049
0.209	5.595
0.259	7.782
0.309	0.675
0.362	0.675
0.409	0.675
0.459	0.675
0.509	23.638
0.559	26.918
0.609	30.199
0.659	32.933
0.709	36.213
0.760	38.947
0.810	41.681
0.859	43.868
0.909	46.601
0.959	49.335
1.009	51.522
1.059	54.256
1.109	56.443
1.159	58.630
1.209	60.817
1.259	63.550
1.309	65.737
1.359	67.924
1.409	70.111
1.459	72.298
1.509	75.032
1.559	77.219
1.609	79.406
1.659	81.593
1.709	83.780
1.759	85.967
1.809	88.154
1.859	90.341
1.909	92.528
1.959	94.715
2.009	96.902
2.059	99.089
2.109	101.276
2.160	103.463
2.209	105.650
2.259	107.837
2.309	110.024
2.359	112.210
2.409	114.397
2.459	116.584
2.509	118.771
2.559	120.958
2.609	123.145
2.659	125.332
2.709	127.519
2.759	129.706
2.809	131.893
2.859	134.080
2.909	136.267
2.959	138.454
3.009	140.641
3.059	142.828
3.109	145.015
3.159	147.202
3.209	149.389
3.259	151.576
3.309	153.763
3.359	155.950
3.409	157.590
3.459	159.777
3.509	161.964
3.559	164.151
3.609	166.338
3.659	168.525
3.709	170.712
3.759	172.899
3.809	175.086
3.859	177.273
3.909	179.460
3.960	181.647
4.009	183.834
4.059	186.021
4.109	188.208
4.159	190.395
4.209	192.582
4.259	194.769
4.309	196.409
4.359	198.596
4.409	200.783
4.459	202.970
4.509	205.157
4.560	207.344
4.609	209.531
4.659	211.718
4.709	213.905
4.759	216.092
4.809	218.279
4.859	220.466
4.909	222.653
4.959	224.840
5.009	227.027
5.059	228.667
5.109	230.854
5.159	233.041
5.209	235.228
5.259	237.415
5.309	239.602
5.360	241.789
5.409	243.976
5.459	246.163
5.509	248.350
5.559	250.537
5.609	252.177
5.659	253.817
5.709	254.911
5.759	0.000
5.809	0.000
5.859	0.000
5.909	0.000
5.959	0.000
6.009	0.000
6.059	0.000
6.109	0.000
6.159	0.000
6.209	0.000
6.259	0.000
6.309	0.000
6.359	0.000
6.409	0.000
6.459	0.000
6.509	0.000
